tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped
0,0,0,0,16587648,0,0,0,0,0,0
1,0,0,0,15567104,0,0,0,0,0,0
2,0,0,0,16082304,0,0,0,0,0,0
3,0,0,0,15765120,0,0,0,0,0,0
4,0,0,0,14745472,0,0,0,0,0,0
5,0,0,0,15078784,0,0,0,0,0,0
6,0,0,0,15829632,0,0,0,0,0,0
7,0,0,0,15600256,0,0,0,0,0,0
8,0,0,0,15608320,0,0,0,0,0,0
9,0,0,0,15155840,0,0,0,0,0,0
10,0,0,0,15124480,0,0,0,0,0,0
11,0,0,0,15418368,0,0,0,0,0,0
12,0,0,0,14967680,0,0,0,0,0,0
13,0,0,0,14623616,0,0,0,0,0,0
14,0,0,0,13922944,0,0,0,0,0,0
15,0,0,0,14479360,0,0,0,0,0,0
16,0,0,0,15017856,0,0,0,0,0,0
17,0,0,0,13871872,0,0,0,0,0,0
18,0,0,0,13801088,0,0,0,0,0,0
19,0,0,0,13588736,0,0,0,0,0,0
20,0,0,0,13604864,0,0,0,0,0,0
21,0,0,0,13696256,0,0,0,0,0,0
22,0,0,0,13130880,0,0,0,0,0,0
23,0,0,0,13590528,0,0,0,0,0,0
24,0,0,0,12500096,0,0,0,0,0,0
25,0,0,0,12833408,0,0,0,0,0,0
26,0,0,0,13027840,0,0,0,0,0,0
27,0,0,0,13072640,0,0,0,0,0,0
28,0,0,0,11607680,0,0,0,0,0,0
29,0,0,0,11464320,0,0,0,0,0,0
30,0,0,0,11019008,0,0,0,0,0,0
31,0,0,0,11439232,0,0,0,0,0,0
32,0,0,0,10668672,0,0,0,0,0,0
33,0,0,0,11746560,0,0,0,0,0,0
34,0,0,0,11157888,0,0,0,0,0,0
35,0,0,0,10410624,0,0,0,0,0,0
36,0,0,0,10647168,0,0,0,0,0,0
37,0,0,0,10467072,0,0,0,0,0,0
38,0,0,0,9981440,0,0,0,0,0,0
39,0,0,0,9706368,0,0,0,0,0,0
40,0,0,0,9207296,0,0,0,0,0,0
41,0,0,0,10208128,0,0,0,0,0,0
42,0,0,0,9197440,0,0,0,0,0,0
43,0,0,0,8992256,0,0,0,0,0,0
44,0,0,0,8749440,0,0,0,0,0,0
45,0,0,0,8171520,0,0,0,0,0,0
46,0,0,0,8078336,0,0,0,0,0,0
47,0,0,0,8374912,0,0,0,0,0,0
48,0,0,0,7797888,0,0,0,0,0,0
49,0,0,0,7730688,0,0,0,0,0,0
50,0,0,0,7732480,0,0,0,0,0,0
51,0,0,0,6822144,0,0,0,0,0,0
52,0,0,0,7194880,0,0,0,0,0,0
53,0,0,0,7275520,0,0,0,0,0,0
54,0,0,0,7420672,0,0,0,0,0,0
55,0,0,0,6918912,0,0,0,0,0,0
56,0,0,0,6272000,0,0,0,0,0,0
57,0,0,0,6454784,0,0,0,0,0,0
58,0,0,0,6154624,0,0,0,0,0,0
59,0,0,0,5861632,0,0,0,0,0,0
60,0,0,0,5773824,0,0,0,0,0,0
61,0,0,0,5663616,0,0,0,0,0,0
62,0,0,0,5556096,0,0,0,0,0,0
63,0,0,0,5051648,0,0,0,0,0,0
64,0,0,0,4905600,0,0,0,0,0,0
65,0,0,0,5065088,0,0,0,0,0,0
66,0,0,0,4832128,0,0,0,0,0,0
67,0,0,0,4663680,0,0,0,0,0,0
68,0,0,0,4834816,0,0,0,0,0,0
69,0,0,0,4331264,0,0,0,0,0,0
70,0,0,0,4380544,0,0,0,0,0,0
71,0,0,0,4087552,0,0,0,0,0,0
72,0,0,0,4390400,0,0,0,0,0,0
73,0,0,0,4043648,0,0,0,0,0,0
74,0,0,0,4068736,0,0,0,0,0,0
75,0,0,0,4167296,0,0,0,0,0,0
76,0,0,0,3853696,0,0,0,0,0,0
77,0,0,0,3546368,0,0,0,0,0,0
78,0,0,0,3294592,0,0,0,0,0,0
79,0,0,0,2832256,0,0,0,0,0,0
80,0,0,0,3235456,0,0,0,0,0,0
81,0,0,0,3041920,0,0,0,0,0,0
82,0,0,0,2662912,0,0,0,0,0,0
83,0,0,0,2746240,0,0,0,0,0,0
84,0,0,0,2983680,0,0,0,0,0,0
85,0,0,0,2916480,0,0,0,0,0,0
86,0,0,0,2886912,0,0,0,0,0,0
87,0,0,0,2879744,0,0,0,0,0,0
88,0,0,0,2422784,0,0,0,0,0,0
89,0,0,0,2398592,0,0,0,0,0,0
90,0,0,0,2054528,0,0,0,0,0,0
91,0,0,0,2094848,0,0,0,0,0,0
92,0,0,0,2145920,0,0,0,0,0,0
93,0,0,0,2099328,0,0,0,0,0,0
94,0,0,0,2102912,0,0,0,0,0,0
95,0,0,0,1874432,0,0,0,0,0,0
96,0,0,0,2096640,0,0,0,0,0,0
97,0,0,0,1966720,0,0,0,0,0,0
98,0,0,0,1928192,0,0,0,0,0,0
99,0,0,0,2127104,0,0,0,0,0,0
100,0,0,0,2067072,0,0,0,0,0,0
101,0,0,0,1799168,0,0,0,0,0,0
102,0,0,0,1852032,0,0,0,0,0,0
