tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,240,2000
1,0,0,0,13440,0,0,0,0,0,0,239,2000
2,0,0,0,21504,0,0,0,0,0,0,199,2000
3,0,0,0,0,0,0,0,0,0,0,216,2000
4,0,0,0,8960,0,0,0,0,0,0,178,2000
5,0,0,0,13440,0,0,0,0,0,0,140,2000
6,0,0,0,1792,0,0,0,0,0,0,247,2000
7,0,0,0,896,0,0,0,0,0,0,179,2000
8,0,0,0,896,0,0,0,0,0,0,303,2000
9,0,0,0,896,0,0,0,0,0,0,154,2000
10,0,0,0,0,0,0,0,0,0,0,145,2000
11,0,0,0,0,0,0,0,0,0,0,229,2000
12,0,0,0,8960,0,0,0,0,0,0,86,10
13,0,0,0,6272,0,0,0,0,0,0,139,17
14,0,0,0,0,0,0,0,0,0,0,167,17
15,0,0,0,0,0,0,0,0,0,0,194,17
16,0,0,0,11648,0,0,0,0,0,0,195,30
17,0,0,0,0,0,0,0,0,0,0,107,30
18,0,0,0,0,0,0,0,0,0,0,112,30
19,0,0,0,896,0,0,0,0,0,0,119,32
20,0,0,0,0,0,0,0,0,0,0,202,32
21,0,0,0,896,0,0,0,0,0,0,126,32
22,0,0,0,896,0,0,0,0,0,0,144,34
23,0,0,0,0,0,0,0,0,0,0,136,34
24,0,0,0,0,0,0,0,0,0,0,200,0
25,0,0,0,0,0,0,0,0,0,0,144,0
26,0,0,0,0,0,0,0,0,0,0,149,0
27,0,0,0,0,0,0,0,0,0,0,178,0
28,0,0,0,896,0,0,0,0,0,0,111,2
29,0,0,0,0,0,0,0,0,0,0,69,2
30,0,0,0,0,0,0,0,0,0,0,141,2
31,0,0,0,0,0,0,0,0,0,0,194,2
32,0,0,0,896,0,0,0,0,0,0,134,4
33,0,0,0,0,0,0,0,0,0,0,204,4
34,0,0,0,0,0,0,0,0,0,0,135,4
35,0,0,0,0,0,0,0,0,0,0,211,4
36,0,0,0,5376,0,0,0,0,0,0,200,7
37,0,0,0,0,0,0,0,0,0,0,157,7
38,0,0,0,896,0,0,0,0,0,0,138,9
39,0,0,0,0,0,0,0,0,0,0,220,9
40,0,0,0,0,0,0,0,0,0,0,207,9
41,0,0,0,896,0,0,0,0,0,0,219,10
42,0,0,0,0,0,0,0,0,0,0,234,10
43,0,0,0,896,0,0,0,0,0,0,238,12
44,0,0,0,0,0,0,0,0,0,0,182,12
45,0,0,0,0,0,0,0,0,0,0,199,12
46,0,0,0,0,0,0,0,0,0,0,347,12
47,0,0,0,0,0,0,0,0,0,0,219,12
48,0,0,0,1792,0,0,0,0,0,0,258,4
49,0,0,0,0,0,0,0,0,0,0,250,4
50,0,0,0,13440,0,0,0,0,0,0,276,19
51,0,0,0,0,0,0,0,0,0,0,311,19
52,0,0,0,896,0,0,0,0,0,0,271,21
53,0,0,0,896,0,0,0,0,0,0,311,23
54,0,0,0,0,0,0,0,0,0,0,356,23
55,0,0,0,896,0,0,0,0,0,0,275,25
56,0,0,0,896,0,0,0,0,0,0,295,26
57,1,1,1,13440,0,1,0,0,1,0,409,41
58,1,1,1,8960,0,0,0,0,0,0,320,52
59,2,2,2,21504,0,1,0,0,1,0,358,73
60,2,2,2,0,0,0,0,0,0,0,413,0
61,2,2,2,896,0,0,0,0,0,0,468,2
62,2,2,2,0,0,0,0,0,0,0,406,2
63,2,2,2,1792,0,0,0,0,0,0,424,6
64,2,2,2,896,0,0,0,0,0,0,426,8
65,2,2,2,0,0,0,0,0,0,0,334,8
66,2,2,2,2688,0,0,0,0,0,0,318,14
67,2,2,2,21504,0,0,0,0,0,0,337,39
68,2,2,2,896,0,0,0,0,0,0,411,41
69,2,2,2,896,0,0,0,0,0,0,369,43
70,2,2,2,896,0,0,0,0,0,0,482,44
71,3,3,3,10752,0,1,0,0,1,0,492,54
