tick,user,event
45,3991,aware
45,3991,evidence
45,3991,detect
46,146,aware
46,146,evidence
46,146,detect
48,223,aware
48,223,evidence
48,223,detect
48,7778,aware
48,7778,evidence
48,7778,detect
50,1971,aware
50,1971,evidence
50,1971,detect
50,1626,aware
50,1626,evidence
50,1626,detect
51,1758,aware
51,1758,evidence
51,1758,detect
52,4863,aware
52,4863,evidence
52,4863,detect
57,4407,aware
57,4407,evidence
57,4407,detect
60,3748,aware
60,3748,evidence
60,3748,detect
61,2698,aware
61,2698,evidence
61,2698,detect
63,2273,aware
63,2273,evidence
63,2273,detect
63,7025,aware
63,7025,evidence
63,7025,detect
63,4854,aware
63,4854,evidence
63,4854,detect
63,1014,aware
63,1014,evidence
63,1014,detect
65,2192,aware
65,2192,evidence
65,2192,detect
65,958,aware
65,958,evidence
65,958,detect
68,2459,aware
68,2459,evidence
68,2459,detect
69,5073,aware
69,5073,evidence
69,5073,detect
69,3831,aware
69,3831,evidence
69,3831,detect
71,1732,aware
71,1732,evidence
71,1732,detect
71,7315,aware
71,7315,evidence
71,7315,detect
