tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,70,2000
1,0,0,0,0,0,0,0,0,0,0,50,2000
2,0,0,0,0,0,0,0,0,0,0,30,2000
3,0,0,0,0,0,0,0,0,0,0,46,2000
4,0,0,0,0,0,0,0,0,0,0,89,2000
5,0,0,0,0,0,0,0,0,0,0,64,2000
6,0,0,0,0,0,0,0,0,0,0,42,2000
7,0,0,0,0,0,0,0,0,0,0,76,2000
8,0,0,0,0,0,0,0,0,0,0,114,2000
9,0,0,0,0,0,0,0,0,0,0,41,2000
10,0,0,0,0,0,0,0,0,0,0,48,2000
11,0,0,0,0,0,0,0,0,0,0,61,2000
