tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,75,500
1,0,0,0,0,0,0,0,0,0,0,71,500
2,0,0,0,0,0,0,0,0,0,0,41,500
3,0,0,0,0,0,0,0,0,0,0,33,500
4,0,0,0,0,0,0,0,0,0,0,7,500
5,0,0,0,0,0,0,0,0,0,0,35,500
6,0,0,0,0,0,0,0,0,0,0,16,500
7,0,0,0,0,0,0,0,0,0,0,26,500
8,0,0,0,0,0,0,0,0,0,0,36,500
9,0,0,0,0,0,0,0,0,0,0,20,500
10,0,0,0,0,0,0,0,0,0,0,29,500
11,0,0,0,0,0,0,0,0,0,0,53,500
12,0,0,0,0,0,0,0,0,0,0,41,0
13,0,0,0,0,0,0,0,0,0,0,48,0
14,0,0,0,0,0,0,0,0,0,0,46,0
15,0,0,0,0,0,0,0,0,0,0,12,0
16,0,0,0,0,0,0,0,0,0,0,2,0
17,0,0,0,0,0,0,0,0,0,0,4,0
18,0,0,0,0,0,0,0,0,0,0,21,0
19,0,0,0,0,0,0,0,0,0,0,17,0
20,0,0,0,0,0,0,0,0,0,0,5,0
21,0,0,0,0,0,0,0,0,0,0,34,0
22,0,0,0,0,0,0,0,0,0,0,35,0
23,0,0,0,0,0,0,0,0,0,0,12,0
