tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,24192,0,0,0,0,0,0,79,500
1,0,0,0,4480,0,0,0,0,0,0,61,500
2,0,0,0,12544,0,0,0,0,0,0,93,500
3,0,0,0,1792,0,0,0,0,0,0,68,500
4,0,0,0,1792,0,0,0,0,0,0,38,500
5,0,0,0,1792,0,0,0,0,0,0,49,500
6,0,0,0,24192,0,0,0,0,0,0,92,500
7,0,0,0,20608,0,0,0,0,0,0,56,500
8,0,0,0,24192,0,0,0,0,0,0,71,500
9,0,0,0,17920,0,0,0,0,0,0,51,500
10,0,0,0,14336,0,0,0,0,0,0,101,500
11,0,0,0,14336,0,0,0,0,0,0,92,500
12,0,0,0,1792,0,0,0,0,0,0,38,4
13,0,0,0,13440,0,0,0,0,0,0,61,19
14,0,0,0,896,0,0,0,0,0,0,9,21
15,0,0,0,7168,0,0,0,0,0,0,25,30
16,0,0,0,9856,0,0,0,0,0,0,54,40
17,0,0,0,2688,0,0,0,0,0,0,34,46
18,0,0,0,1792,0,0,0,0,0,0,55,50
19,0,0,0,896,0,0,0,0,0,0,31,52
20,0,0,0,8960,0,0,0,0,0,0,86,61
21,0,0,0,28672,0,0,0,0,0,0,58,92
22,0,0,0,15232,0,0,0,0,0,0,70,105
23,0,0,0,1792,0,0,0,0,0,0,28,107
24,0,0,0,10752,0,0,0,0,0,0,78,14
25,0,0,0,9856,0,0,0,0,0,0,89,25
26,0,0,0,3584,0,0,0,0,0,0,59,32
27,0,0,0,11648,0,0,0,0,0,0,57,45
28,0,0,0,13440,0,0,0,0,0,0,109,60
29,0,0,0,14336,0,0,0,0,0,0,84,76
30,0,0,0,2688,0,0,0,0,0,0,20,81
31,0,0,0,36736,0,0,0,0,0,0,83,114
32,0,0,0,1792,0,0,0,0,0,0,59,118
33,0,0,0,7168,0,0,0,0,0,0,40,125
34,0,0,0,15232,0,0,0,0,0,0,80,136
35,0,0,0,8064,0,0,0,0,0,0,70,146
36,0,0,0,8064,0,0,0,0,1,1,36,11
37,0,0,0,19712,0,0,0,0,2,2,63,32
38,0,0,0,17920,0,0,0,0,2,2,57,54
39,0,0,0,6272,0,0,0,0,3,3,84,63
40,0,0,0,0,0,0,0,0,0,0,68,63
41,0,0,0,13440,0,0,0,0,1,1,59,79
42,0,0,0,5376,0,0,0,0,0,0,68,87
43,0,0,0,1792,0,0,0,0,0,0,59,89
44,0,0,0,8064,0,0,0,0,0,0,82,95
45,0,0,0,15232,0,0,0,0,2,2,70,112
46,0,0,0,1792,0,0,0,0,0,0,55,114
47,0,0,0,15232,0,0,0,0,2,2,92,131
48,0,0,0,21504,0,0,0,0,2,2,111,29
49,0,0,0,25984,0,0,0,0,6,6,78,56
50,0,0,0,15232,0,0,0,0,0,0,92,72
51,0,0,0,26880,0,0,0,0,2,2,71,98
52,0,0,0,13440,0,0,0,0,3,3,87,112
53,0,0,0,8064,0,0,0,0,12,12,66,118
54,0,0,0,13440,0,0,0,0,1,1,89,132
55,0,0,0,20608,0,0,0,0,3,3,119,146
56,0,0,0,1792,0,0,0,0,0,0,37,148
57,0,0,0,26880,0,0,0,0,2,2,118,168
58,0,0,0,896,0,0,0,0,1,1,72,170
59,0,0,0,2688,0,0,0,0,1,1,225,172
60,0,0,0,10752,0,0,0,0,3,3,134,18
61,0,0,0,11648,0,0,0,0,2,2,145,32
62,0,0,0,28672,0,0,0,0,3,3,88,64
63,0,0,0,4480,0,0,0,0,1,1,124,73
64,0,0,0,17920,0,0,0,0,5,5,118,95
65,0,0,0,18816,0,0,0,0,13,13,172,111
66,0,0,0,17024,0,0,0,0,9,9,181,126
67,0,0,0,6272,0,0,0,0,14,14,133,132
68,0,0,0,43008,0,0,0,0,2,2,147,174
69,0,0,0,10752,0,0,0,0,11,11,146,181
70,0,0,0,20608,0,0,0,0,4,4,119,194
71,0,0,0,24192,0,0,0,0,3,3,175,211
