tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,24192,0,0,0,0,0,0,79,500
1,0,0,0,4480,0,0,0,0,0,0,61,500
2,0,0,0,12544,0,0,0,0,0,0,93,500
3,0,0,0,1792,0,0,0,0,0,0,68,500
4,0,0,0,1792,0,0,0,0,0,0,38,500
5,0,0,0,1792,0,0,0,0,0,0,49,500
6,0,0,0,24192,0,0,0,0,0,0,92,500
7,0,0,0,20608,0,0,0,0,0,0,56,500
8,0,0,0,24192,0,0,0,0,0,0,71,500
9,0,0,0,17920,0,0,0,0,0,0,51,500
10,0,0,0,14336,0,0,0,0,0,0,101,500
11,0,0,0,14336,0,0,0,0,0,0,92,500
12,0,0,0,1792,0,0,0,0,0,0,38,4
13,0,0,0,13440,0,0,0,0,0,0,61,19
14,0,0,0,896,0,0,0,0,0,0,9,21
15,0,0,0,7168,0,0,0,0,0,0,25,30
16,0,0,0,9856,0,0,0,0,0,0,54,40
17,0,0,0,2688,0,0,0,0,0,0,34,46
18,0,0,0,1792,0,0,0,0,0,0,55,50
19,0,0,0,896,0,0,0,0,0,0,31,52
20,0,0,0,8960,0,0,0,0,0,0,86,61
21,0,0,0,28672,0,0,0,0,0,0,58,92
22,0,0,0,15232,0,0,0,0,0,0,70,105
23,0,0,0,1792,0,0,0,0,0,0,28,107
24,0,0,0,10752,0,0,0,0,0,0,78,14
25,0,0,0,9856,0,0,0,0,0,0,89,25
26,0,0,0,3584,0,0,0,0,0,0,59,32
27,0,0,0,11648,0,0,0,0,0,0,57,45
28,0,0,0,13440,0,0,0,0,0,0,109,60
29,0,0,0,14336,0,0,0,0,0,0,84,76
30,0,0,0,2688,0,0,0,0,0,0,20,81
31,0,0,0,36736,0,0,0,0,0,0,83,114
32,0,0,0,1792,0,0,0,0,0,0,59,118
33,0,0,0,7168,0,0,0,0,0,0,40,125
34,0,0,0,15232,0,0,0,0,0,0,80,136
35,0,0,0,8064,0,0,0,0,0,0,70,146
36,1,1,1,8960,0,1,0,0,1,0,36,11
37,3,3,3,21504,0,2,0,0,2,0,63,32
38,4,4,4,19712,0,2,0,0,2,0,57,54
39,6,6,6,8960,0,3,0,0,3,0,84,63
40,6,6,6,0,0,0,0,0,0,0,68,63
41,7,7,7,14336,0,1,0,0,1,0,59,79
42,7,7,7,5376,0,0,0,0,0,0,68,87
43,7,7,7,1792,0,0,0,0,0,0,59,89
44,7,7,7,8064,0,0,0,0,0,0,82,95
45,9,9,9,17024,0,2,0,0,2,0,70,112
46,9,9,9,1792,0,0,0,0,0,0,55,114
47,11,11,11,17024,0,2,0,0,2,0,92,131
48,11,11,11,23296,0,2,0,0,2,0,111,29
49,15,15,15,31360,0,6,0,0,6,0,78,56
50,15,15,15,15232,0,0,0,0,0,0,92,72
51,17,17,17,28672,0,2,0,0,2,0,71,98
52,19,19,19,16128,0,3,0,0,3,0,87,112
53,31,31,31,18816,0,12,0,0,12,0,66,129
54,31,31,31,14336,0,1,0,0,1,0,89,142
55,33,33,33,23296,0,3,0,0,3,0,119,155
56,33,33,33,1792,0,0,0,0,0,0,37,157
57,33,33,33,28672,0,2,0,0,2,0,118,177
58,34,34,34,1792,0,1,0,0,1,0,72,180
59,34,34,34,3584,0,1,0,0,1,0,225,182
60,36,36,36,13440,0,3,0,0,3,0,134,19
61,37,37,37,13440,0,2,0,0,2,0,145,33
62,38,38,38,31360,0,3,0,0,3,0,88,66
63,38,38,38,5376,0,1,0,0,1,0,124,75
64,42,42,42,22400,0,5,0,0,5,0,118,98
65,52,52,52,30464,0,13,0,0,13,0,172,120
66,60,60,60,25088,0,9,0,0,9,0,181,139
67,71,71,71,18816,0,14,0,0,14,0,133,154
68,72,72,72,44800,0,2,0,0,2,0,147,194
69,81,81,81,20608,0,11,0,0,11,0,146,206
70,82,82,82,24192,0,4,0,0,4,0,119,217
71,84,84,84,26880,0,3,0,0,3,0,175,234
