tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,44800,0,0,0,0,0,0,77,500
1,0,0,0,896,0,0,0,0,0,0,33,500
2,0,0,0,8064,0,0,0,0,0,0,57,500
3,0,0,0,896,0,0,0,0,0,0,18,500
4,0,0,0,9856,0,0,0,0,0,0,23,500
5,0,0,0,896,0,0,0,0,0,0,15,500
6,0,0,0,0,0,0,0,0,0,0,7,500
7,0,0,0,0,0,0,0,0,0,0,61,500
8,0,0,0,896,0,0,0,0,0,0,19,500
9,0,0,0,0,0,0,0,0,0,0,58,500
10,0,0,0,0,0,0,0,0,0,0,36,500
11,0,0,0,896,0,0,0,0,0,0,36,500
12,0,0,0,0,0,0,0,0,0,0,22,0
13,0,0,0,0,0,0,0,0,0,0,33,0
14,0,0,0,896,0,0,0,0,0,0,3,2
15,0,0,0,0,0,0,0,0,0,0,17,2
16,0,0,0,0,0,0,0,0,0,0,18,2
17,0,0,0,0,0,0,0,0,0,0,17,2
18,0,0,0,0,0,0,0,0,0,0,13,2
19,0,0,0,14336,0,0,0,0,0,0,35,18
20,0,0,0,0,0,0,0,0,0,0,47,18
21,0,0,0,0,0,0,0,0,0,0,16,18
22,0,0,0,0,0,0,0,0,0,0,26,18
23,0,0,0,0,0,0,0,0,0,0,39,18
