tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,860,12000
1,0,0,0,2688,0,0,0,0,0,0,833,12000
2,0,0,0,1792,0,0,0,0,0,0,802,12000
3,0,0,0,896,0,0,0,0,0,0,893,12000
4,0,0,0,0,0,0,0,0,0,0,786,12000
5,0,0,0,0,0,0,0,0,0,0,984,12000
6,0,0,0,0,0,0,0,0,0,0,788,12000
7,0,0,0,896,0,0,0,0,0,0,749,12000
8,0,0,0,0,0,0,0,0,0,0,801,12000
9,0,0,0,0,0,0,0,0,0,0,907,12000
10,0,0,0,0,0,0,0,0,0,0,753,12000
11,0,0,0,0,0,0,0,0,0,0,590,12000
12,0,0,0,1792,0,0,0,0,0,0,652,4
13,0,0,0,896,0,0,0,0,0,0,677,6
14,0,0,0,896,0,0,0,0,0,0,713,8
15,0,0,0,0,0,0,0,0,0,0,729,8
16,0,0,0,8064,0,0,0,0,0,0,726,17
17,0,0,0,896,0,0,0,0,0,0,705,19
18,0,0,0,0,0,0,0,0,0,0,624,19
19,0,0,0,896,0,0,0,0,0,0,537,21
20,0,0,0,0,0,0,0,0,0,0,649,21
21,0,0,0,0,0,0,0,0,0,0,618,21
22,0,0,0,0,0,0,0,0,0,0,798,21
23,0,0,0,0,0,0,0,0,0,0,670,21
24,0,0,0,0,0,0,0,0,0,0,640,0
25,0,0,0,0,0,0,0,0,0,0,580,0
26,0,0,0,0,0,0,0,0,0,0,631,0
27,0,0,0,896,0,0,0,0,0,0,628,2
28,0,0,0,0,0,0,0,0,0,0,601,2
29,0,0,0,0,0,0,0,0,0,0,716,2
30,0,0,0,896,0,0,0,0,0,0,682,4
31,0,0,0,12544,0,0,0,0,0,0,733,18
32,0,0,0,896,0,0,0,0,0,0,685,20
33,0,0,0,0,0,0,0,0,0,0,785,20
34,0,0,0,11648,0,0,0,0,0,0,729,33
35,0,0,0,10752,0,0,0,0,0,0,715,45
36,1,1,1,1792,0,1,0,0,1,0,806,3
37,1,1,1,0,0,0,0,0,0,0,646,3
38,1,1,1,0,0,0,0,0,0,0,743,3
39,1,1,1,0,0,0,0,0,0,0,729,3
40,2,2,2,12544,0,1,0,0,1,0,999,16
41,3,3,3,8064,0,1,0,0,1,0,938,24
42,3,3,3,1792,0,0,0,0,0,0,900,28
43,4,4,4,896,0,1,0,0,1,0,970,29
44,11,11,11,8064,0,7,0,0,7,0,824,38
45,11,11,11,0,0,0,0,0,0,0,806,38
46,11,11,11,0,0,0,0,0,0,0,898,38
47,11,11,11,896,0,0,0,0,0,0,854,40
48,11,11,11,1792,0,0,0,0,0,0,857,4
49,11,11,11,0,0,0,0,0,0,0,949,4
50,11,11,11,896,0,0,0,0,0,0,953,6
51,11,11,11,0,0,0,0,0,0,0,1013,6
52,11,11,11,0,0,0,0,0,0,0,1054,6
53,13,13,13,21504,0,2,0,0,2,0,1107,31
54,14,14,14,896,0,1,0,0,1,0,1067,32
55,14,14,14,0,0,0,0,0,0,0,1266,32
56,15,15,15,13440,0,1,0,0,1,0,1093,46
57,15,15,15,13440,0,0,0,0,0,0,1030,60
58,15,15,15,0,0,0,0,0,0,0,1347,60
59,15,15,15,1792,0,0,0,0,0,0,1286,64
60,15,15,15,1792,0,0,0,0,0,0,1353,4
61,15,15,15,0,0,0,0,0,0,0,1149,4
62,16,16,16,1792,0,1,0,0,1,0,1499,7
63,19,19,19,10752,0,3,0,0,3,0,1505,17
64,19,19,19,10752,0,0,0,0,0,0,1390,29
65,19,19,19,0,0,0,0,0,0,0,1408,29
66,19,19,19,896,0,0,0,0,0,0,1556,31
67,19,19,19,896,0,0,0,0,0,0,1627,33
68,19,19,19,1792,0,0,0,0,0,0,1684,37
69,19,19,19,1792,0,0,0,0,0,0,1470,41
70,19,19,19,896,0,0,0,0,0,0,1621,43
71,19,19,19,896,0,0,0,0,0,0,1687,45
