tick,user,event
36,2399,aware
36,2399,evidence
36,2399,detect
38,9926,aware
38,9926,evidence
38,9926,detect
38,2457,aware
38,2457,evidence
38,2457,detect
38,9322,aware
38,9322,evidence
38,9322,detect
42,8575,aware
42,8575,evidence
42,8575,detect
44,2832,aware
44,2832,evidence
44,2832,detect
46,4420,aware
46,4420,evidence
46,4420,detect
47,6604,aware
47,6604,evidence
47,6604,detect
49,10502,aware
49,10502,evidence
49,10502,detect
53,11927,aware
53,11927,evidence
53,11927,detect
53,5216,aware
53,5216,evidence
53,5216,detect
54,9,aware
54,9,evidence
54,9,detect
56,277,aware
56,277,evidence
56,277,detect
58,6563,aware
58,6563,evidence
58,6563,detect
60,7899,aware
60,7899,evidence
60,7899,detect
61,2655,aware
61,2655,evidence
61,2655,detect
63,8393,aware
63,8393,evidence
63,8393,detect
63,4293,aware
63,4293,evidence
63,4293,detect
64,9183,aware
64,9183,evidence
64,9183,detect
65,6530,aware
65,6530,evidence
65,6530,detect
66,9872,aware
66,9872,evidence
66,9872,detect
66,2442,aware
66,2442,evidence
66,2442,detect
67,4893,aware
67,4893,evidence
67,4893,detect
67,9798,aware
67,9798,evidence
67,9798,detect
67,8641,aware
67,8641,evidence
67,8641,detect
67,11391,aware
67,11391,evidence
67,11391,detect
67,4857,aware
67,4857,evidence
67,4857,detect
67,11547,aware
67,11547,evidence
67,11547,detect
67,5611,aware
67,5611,evidence
67,5611,detect
67,7496,aware
67,7496,evidence
67,7496,detect
67,3989,aware
67,3989,evidence
67,3989,detect
67,6088,aware
67,6088,evidence
67,6088,detect
70,2258,aware
70,2258,evidence
70,2258,detect
70,6809,aware
70,6809,evidence
70,6809,detect
70,11102,aware
70,11102,evidence
70,11102,detect
70,8399,aware
70,8399,evidence
70,8399,detect
70,6135,aware
70,6135,evidence
70,6135,detect
70,8592,aware
70,8592,evidence
70,8592,detect
70,1156,aware
70,1156,evidence
70,1156,detect
70,2476,aware
70,2476,evidence
70,2476,detect
70,6145,aware
70,6145,evidence
70,6145,detect
70,752,aware
70,752,evidence
70,752,detect
70,2016,aware
70,2016,evidence
70,2016,detect
71,2253,aware
71,2253,evidence
71,2253,detect
71,10313,aware
71,10313,evidence
71,10313,detect
