server_mode,mode,users,hours,dt_min,p_gossip,adoption,fork_frac,fork_hour,detected,lat_aw_min,lat_ev_min,aware_cov_end,evid_cov_end,t10_aw,t50_aw,t10_ev,t50_ev,msgs_first_ev,msgs_10_ev,msgs_50_ev,msgs_95_ev,bytes_per_send,bytes_per_delivery,crosscuts,crosscut_rate,proof_inconsistent,evidence_events,seed,p_contact_cross,p_group_cross,p_drop_crosscut,sticky_victims,msg_rate_1to1,msg_rate_group,groups,avg_group_size,proof_withhold_rate,proof_timeout_rate,invalid_proof_rate,wall_s,run_dir
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0,0,71000,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.84580397605896,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71000_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.013241901158666351,0.013241901158666351,0.0,0.0,0,0,71001,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.811147928237915,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71001_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.026392141268649024,0.026392141268649024,0.0,0.0,0,0,71002,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.81793212890625,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71002_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,True,130.0,130.0,0.0,0.0,,,,,50936.0,,,,0.04128334689990939,0.04128334689990939,1.0,1.5358387983597243e-05,1,1,71003,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.8076827526092529,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71003_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.026417430786921013,0.026417430786921013,0.0,0.0,0,0,71004,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.8041229248046875,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71004_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.10792742603327561,0.10792742603327561,0.0,0.0,0,0,71005,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.8355543613433838,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71005_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.1791641671665667,0.1791641671665667,0.0,0.0,0,0,71006,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.8264749050140381,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71006_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.0269851069917328,0.0269851069917328,0.0,0.0,0,0,71007,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.8248605728149414,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71007_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,True,50.0,50.0,0.0,0.0,,,,,35135.0,,,,0.013339884169309334,0.013339884169309334,1.0,1.4888263581818453e-05,1,1,71008,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.8406953811645508,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71008_drop0_pc0p05_pgc0p05
permanent_fork,sth_proof,12000,6.0,5.0,0.002,0.05,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.13467406171559124,0.13467406171559124,0.0,0.0,0,0,71009,0.05,0.05,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.8416776657104492,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_baseline_new/permanent_fork_sth_proof_n12000_pg0p002_a0p05_ff0p05_s71009_drop0_pc0p05_pgc0p05
