tick,user,event
42,2899,aware
42,2899,evidence
42,2899,detect
42,6350,aware
42,6350,evidence
42,6350,detect
42,475,aware
42,475,evidence
42,475,detect
42,719,aware
42,719,evidence
42,719,detect
42,10986,aware
42,10986,evidence
42,10986,detect
42,5087,aware
42,5087,evidence
42,5087,detect
42,840,aware
42,840,evidence
42,840,detect
42,6583,aware
42,6583,evidence
42,6583,detect
42,11224,aware
42,11224,evidence
42,11224,detect
42,263,aware
42,263,evidence
42,263,detect
45,707,aware
45,707,evidence
45,707,detect
45,783,aware
45,783,evidence
45,783,detect
53,2863,aware
53,2863,evidence
53,2863,detect
63,5752,aware
63,5752,evidence
63,5752,detect
63,4710,aware
63,4710,evidence
63,4710,detect
63,8926,aware
63,8926,evidence
63,8926,detect
63,11664,aware
63,11664,evidence
63,11664,detect
63,6942,aware
63,6942,evidence
63,6942,detect
63,2209,aware
63,2209,evidence
63,2209,detect
