tick,user,event
59,9902,aware
59,9902,evidence
59,9902,detect
71,2083,aware
71,2083,evidence
71,2083,detect
71,4273,aware
71,4273,evidence
71,4273,detect
71,3841,aware
71,3841,evidence
71,3841,detect
71,11641,aware
71,11641,evidence
71,11641,detect
71,3586,aware
71,3586,evidence
71,3586,detect
71,1558,aware
71,1558,evidence
71,1558,detect
71,3925,aware
71,3925,evidence
71,3925,detect
71,11512,aware
71,11512,evidence
71,11512,detect
71,10927,aware
71,10927,evidence
71,10927,detect
71,4963,aware
71,4963,evidence
71,4963,detect
71,5101,aware
71,5101,evidence
71,5101,detect
71,9347,aware
71,9347,evidence
71,9347,detect
71,2750,aware
71,2750,evidence
71,2750,detect
