tick,user,event
41,2431,aware
41,2431,evidence
41,2431,detect
51,1533,aware
51,1533,evidence
51,1533,detect
51,4316,aware
51,4316,evidence
51,4316,detect
53,11865,aware
53,11865,evidence
53,11865,detect
57,6396,aware
57,6396,evidence
57,6396,detect
58,6423,aware
58,6423,evidence
58,6423,detect
59,6356,aware
59,6356,evidence
59,6356,detect
61,3333,aware
61,3333,evidence
61,3333,detect
67,2735,aware
67,2735,evidence
67,2735,detect
67,11018,aware
67,11018,evidence
67,11018,detect
69,1115,aware
69,1115,evidence
69,1115,detect
69,979,aware
69,979,evidence
69,979,detect
69,2252,aware
69,2252,evidence
69,2252,detect
70,719,aware
70,719,evidence
70,719,detect
