tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,1103,12000
1,0,0,0,1792,0,0,0,0,0,0,951,12000
2,0,0,0,0,0,0,0,0,0,0,990,12000
3,0,0,0,0,0,0,0,0,0,0,968,12000
4,0,0,0,0,0,0,0,0,0,0,886,12000
5,0,0,0,0,0,0,0,0,0,0,945,12000
6,0,0,0,896,0,0,0,0,0,0,912,12000
7,0,0,0,0,0,0,0,0,0,0,834,12000
8,0,0,0,896,0,0,0,0,0,0,758,12000
9,0,0,0,0,0,0,0,0,0,0,768,12000
10,0,0,0,13440,0,0,0,0,0,0,816,12000
11,0,0,0,0,0,0,0,0,0,0,879,12000
12,0,0,0,0,0,0,0,0,0,0,630,0
13,0,0,0,896,0,0,0,0,0,0,753,2
14,0,0,0,0,0,0,0,0,0,0,841,2
15,0,0,0,0,0,0,0,0,0,0,759,2
16,0,0,0,0,0,0,0,0,0,0,637,2
17,0,0,0,896,0,0,0,0,0,0,785,4
18,0,0,0,0,0,0,0,0,0,0,557,4
19,0,0,0,896,0,0,0,0,0,0,598,6
20,0,0,0,0,0,0,0,0,0,0,669,6
21,0,0,0,13440,0,0,0,0,0,0,755,22
22,0,0,0,0,0,0,0,0,0,0,677,22
23,0,0,0,0,0,0,0,0,0,0,569,22
24,0,0,0,0,0,0,0,0,0,0,657,0
25,0,0,0,0,0,0,0,0,0,0,684,0
26,0,0,0,0,0,0,0,0,0,0,593,0
27,0,0,0,0,0,0,0,0,0,0,638,0
28,0,0,0,0,0,0,0,0,0,0,595,0
29,0,0,0,0,0,0,0,0,0,0,630,0
30,0,0,0,0,0,0,0,0,0,0,652,0
31,0,0,0,0,0,0,0,0,0,0,753,0
32,0,0,0,0,0,0,0,0,0,0,797,0
33,0,0,0,0,0,0,0,0,0,0,625,0
34,0,0,0,0,0,0,0,0,0,0,695,0
35,0,0,0,0,0,0,0,0,0,0,671,0
36,0,0,0,0,0,0,0,0,0,0,667,0
37,0,0,0,0,0,0,0,0,0,0,668,0
38,0,0,0,0,0,0,0,0,0,0,795,0
39,0,0,0,0,0,0,0,0,0,0,871,0
40,0,0,0,0,0,0,0,0,0,0,751,0
41,0,0,0,896,0,0,0,0,0,0,761,2
42,0,0,0,896,0,0,0,0,0,0,667,4
43,0,0,0,0,0,0,0,0,0,0,954,4
44,0,0,0,896,0,0,0,0,0,0,901,6
45,0,0,0,896,0,0,0,0,0,0,873,8
46,0,0,0,0,0,0,0,0,0,0,943,8
47,0,0,0,0,0,0,0,0,0,0,779,8
48,0,0,0,0,0,0,0,0,0,0,1019,0
49,0,0,0,11648,0,0,0,0,0,0,951,13
50,0,0,0,0,0,0,0,0,0,0,977,13
51,0,0,0,0,0,0,0,0,0,0,1007,13
52,0,0,0,0,0,0,0,0,0,0,1128,13
53,0,0,0,896,0,0,0,0,0,0,1130,15
54,0,0,0,0,0,0,0,0,0,0,1094,15
55,0,0,0,0,0,0,0,0,0,0,992,15
56,0,0,0,0,0,0,0,0,0,0,1137,15
57,0,0,0,896,0,0,0,0,0,0,1211,17
58,0,0,0,0,0,0,0,0,0,0,1076,17
59,0,0,0,0,0,0,0,0,0,0,1329,17
60,0,0,0,1792,0,0,0,0,0,0,1321,4
61,0,0,0,0,0,0,0,0,0,0,1468,4
62,0,0,0,896,0,0,0,0,0,0,1465,6
63,0,0,0,0,0,0,0,0,0,0,1369,6
64,0,0,0,0,0,0,0,0,0,0,1172,6
65,0,0,0,896,0,0,0,0,0,0,1500,8
66,0,0,0,896,0,0,0,0,0,0,1327,10
67,0,0,0,0,0,0,0,0,0,0,1428,10
68,1,1,1,11648,0,1,0,0,1,0,1473,23
69,1,1,1,0,0,0,0,0,0,0,1528,23
70,1,1,1,896,0,0,0,0,0,0,1636,25
71,1,1,1,0,0,0,0,0,0,0,1648,25
