tick,user,event
38,1323,aware
38,1323,evidence
38,1323,detect
49,10146,aware
49,10146,evidence
49,10146,detect
55,825,aware
55,825,evidence
55,825,detect
55,5608,aware
55,5608,evidence
55,5608,detect
55,5208,aware
55,5208,evidence
55,5208,detect
63,8751,aware
63,8751,evidence
63,8751,detect
64,7439,aware
64,7439,evidence
64,7439,detect
64,7902,aware
64,7902,evidence
64,7902,detect
64,6076,aware
64,6076,evidence
64,6076,detect
64,9806,aware
64,9806,evidence
64,9806,detect
64,9478,aware
64,9478,evidence
64,9478,detect
67,8975,aware
67,8975,evidence
67,8975,detect
68,2072,aware
68,2072,evidence
68,2072,detect
69,6641,aware
69,6641,evidence
69,6641,detect
