tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,8064,0,0,0,0,0,0,1580,12000
1,0,0,0,0,0,0,0,0,0,0,1771,12000
2,0,0,0,5376,0,0,0,0,0,0,1425,12000
3,0,0,0,0,0,0,0,0,0,0,1698,12000
4,0,0,0,0,0,0,0,0,0,0,1481,12000
5,0,0,0,0,0,0,0,0,0,0,1412,12000
6,0,0,0,896,0,0,0,0,0,0,1520,12000
7,0,0,0,0,0,0,0,0,0,0,1540,12000
8,0,0,0,0,0,0,0,0,0,0,1455,12000
9,0,0,0,0,0,0,0,0,0,0,1411,12000
10,0,0,0,0,0,0,0,0,0,0,1358,12000
11,0,0,0,6272,0,0,0,0,0,0,1275,12000
12,0,0,0,0,0,0,0,0,0,0,1201,0
13,0,0,0,0,0,0,0,0,0,0,1304,0
14,0,0,0,9856,0,0,0,0,0,0,1125,11
15,0,0,0,5376,0,0,0,0,0,0,1242,17
16,0,0,0,0,0,0,0,0,0,0,1240,17
17,0,0,0,0,0,0,0,0,0,0,1266,17
18,0,0,0,5376,0,0,0,0,0,0,1283,23
19,0,0,0,7168,0,0,0,0,0,0,1212,31
20,0,0,0,0,0,0,0,0,0,0,1286,31
21,0,0,0,0,0,0,0,0,0,0,1098,31
22,0,0,0,0,0,0,0,0,0,0,1022,31
23,0,0,0,0,0,0,0,0,0,0,1093,31
24,0,0,0,0,0,0,0,0,0,0,1227,0
25,0,0,0,13440,0,0,0,0,0,0,1162,15
26,0,0,0,896,0,0,0,0,0,0,1104,17
27,0,0,0,11648,0,0,0,0,0,0,1157,30
28,0,0,0,6272,0,0,0,0,0,0,1137,37
29,0,0,0,0,0,0,0,0,0,0,1275,37
30,0,0,0,15232,0,0,0,0,0,0,1156,54
31,0,0,0,0,0,0,0,0,0,0,1144,54
32,0,0,0,0,0,0,0,0,0,0,1184,54
33,0,0,0,0,0,0,0,0,0,0,1170,54
34,0,0,0,6272,0,0,0,0,0,0,1168,61
35,0,0,0,0,0,0,0,0,0,0,1150,61
36,0,0,0,0,0,0,0,0,0,0,1401,0
37,0,0,0,0,0,0,0,0,0,0,1306,0
38,0,0,0,0,0,0,0,0,0,0,1173,0
39,0,0,0,0,0,0,0,0,0,0,1179,0
40,1,1,1,12544,0,1,0,0,1,0,1484,13
41,2,2,2,4480,0,1,0,0,1,0,1480,17
42,2,2,2,0,0,0,0,0,0,0,1364,17
43,2,2,2,15232,0,0,0,0,0,0,1420,34
44,2,2,2,0,0,0,0,0,0,0,1407,34
45,2,2,2,0,0,0,0,0,0,0,1499,34
46,2,2,2,0,0,0,0,0,0,0,1478,34
47,3,3,3,4480,0,1,0,0,1,0,1443,39
48,3,3,3,0,0,0,0,0,0,0,1639,0
49,3,3,3,0,0,0,0,0,0,0,1565,0
50,3,3,3,0,0,0,0,0,0,0,1698,0
51,4,4,4,5376,0,1,0,0,1,0,1701,5
52,4,4,4,0,0,0,0,0,0,0,1721,5
53,4,4,4,0,0,0,0,0,0,0,1711,5
54,4,4,4,0,0,0,0,0,0,0,2045,5
55,4,4,4,0,0,0,0,0,0,0,1890,5
56,5,5,5,14336,0,1,0,0,1,0,1867,20
57,5,5,5,0,0,0,0,0,0,0,1928,20
58,5,5,5,8064,0,0,0,0,0,0,2001,30
59,5,5,5,896,0,0,0,0,0,0,2112,32
60,5,5,5,8064,0,0,0,0,0,0,2133,9
61,5,5,5,7168,0,0,0,0,0,0,2179,17
62,6,6,6,11648,0,1,0,0,1,0,2337,29
63,6,6,6,0,0,0,0,0,0,0,2223,29
64,6,6,6,0,0,0,0,0,0,0,2357,29
65,6,6,6,0,0,0,0,0,0,0,2353,29
66,6,6,6,0,0,0,0,0,0,0,2425,29
67,6,6,6,0,0,0,0,0,0,0,2912,29
68,6,6,6,0,0,0,0,0,0,0,2798,29
69,7,7,7,16128,0,1,0,0,1,0,2838,46
70,10,10,10,22400,0,3,0,0,3,0,3022,68
71,13,13,13,13440,0,3,0,0,3,0,3114,82
