tick,user,event
48,7532,aware
48,7532,evidence
48,7532,detect
49,3246,aware
49,3246,evidence
49,3246,detect
52,11438,aware
52,11438,evidence
52,11438,detect
57,9976,aware
57,9976,evidence
57,9976,detect
71,3931,aware
71,3931,evidence
71,3931,detect
71,2399,aware
71,2399,evidence
71,2399,detect
71,11802,aware
71,11802,evidence
71,11802,detect
71,11791,aware
71,11791,evidence
71,11791,detect
71,3935,aware
71,3935,evidence
71,3935,detect
71,11175,aware
71,11175,evidence
71,11175,detect
71,5099,aware
71,5099,evidence
71,5099,detect
71,10622,aware
71,10622,evidence
71,10622,detect
71,22,aware
71,22,evidence
71,22,detect
71,5002,aware
71,5002,evidence
71,5002,detect
