tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,1654,12000
1,0,0,0,896,0,0,0,0,0,0,1588,12000
2,0,0,0,7168,0,0,0,0,0,0,1359,12000
3,0,0,0,0,0,0,0,0,0,0,1399,12000
4,0,0,0,896,0,0,0,0,0,0,1385,12000
5,0,0,0,0,0,0,0,0,0,0,1262,12000
6,0,0,0,0,0,0,0,0,0,0,1340,12000
7,0,0,0,3584,0,0,0,0,0,0,1271,12000
8,0,0,0,0,0,0,0,0,0,0,1291,12000
9,0,0,0,0,0,0,0,0,0,0,1363,12000
10,0,0,0,2688,0,0,0,0,0,0,1229,12000
11,0,0,0,0,0,0,0,0,0,0,1092,12000
12,0,0,0,4480,0,0,0,0,0,0,1206,5
13,0,0,0,5376,0,0,0,0,0,0,1124,11
14,0,0,0,0,0,0,0,0,0,0,1110,11
15,0,0,0,0,0,0,0,0,0,0,1076,11
16,0,0,0,0,0,0,0,0,0,0,1217,11
17,0,0,0,0,0,0,0,0,0,0,1094,11
18,0,0,0,0,0,0,0,0,0,0,1153,11
19,0,0,0,0,0,0,0,0,0,0,944,11
20,0,0,0,896,0,0,0,0,0,0,1090,13
21,0,0,0,0,0,0,0,0,0,0,1185,13
22,0,0,0,0,0,0,0,0,0,0,991,13
23,0,0,0,0,0,0,0,0,0,0,1084,13
24,0,0,0,0,0,0,0,0,0,0,1018,0
25,0,0,0,0,0,0,0,0,0,0,1017,0
26,0,0,0,14336,0,0,0,0,0,0,1044,16
27,0,0,0,0,0,0,0,0,0,0,1007,16
28,0,0,0,7168,0,0,0,0,0,0,1181,24
29,0,0,0,0,0,0,0,0,0,0,1013,24
30,0,0,0,3584,0,0,0,0,0,0,995,28
31,0,0,0,0,0,0,0,0,0,0,1107,28
32,0,0,0,0,0,0,0,0,0,0,1088,28
33,0,0,0,0,0,0,0,0,0,0,1249,28
34,0,0,0,4480,0,0,0,0,0,0,1239,33
35,0,0,0,8960,0,0,0,0,0,0,1130,43
36,0,0,0,896,0,0,0,0,0,0,1020,2
37,0,0,0,7168,0,0,0,0,0,0,1192,10
38,0,0,0,0,0,0,0,0,0,0,1313,10
39,0,0,0,0,0,0,0,0,0,0,1268,10
40,1,1,1,7168,0,1,0,0,1,0,1221,17
41,1,1,1,0,0,0,0,0,0,0,1389,17
42,1,1,1,0,0,0,0,0,0,0,1392,17
43,1,1,1,2688,0,0,0,0,0,0,1421,20
44,1,1,1,0,0,0,0,0,0,0,1534,20
45,1,1,1,0,0,0,0,0,0,0,1649,20
46,1,1,1,7168,0,0,0,0,0,0,1653,28
47,1,1,1,0,0,0,0,0,0,0,1771,28
48,1,1,1,0,0,0,0,0,0,0,1684,0
49,1,1,1,0,0,0,0,0,0,0,1733,0
50,1,1,1,0,0,0,0,0,0,0,1878,0
51,1,1,1,896,0,0,0,0,0,0,1821,2
52,1,1,1,5376,0,0,0,0,0,0,1720,8
53,2,2,2,6272,0,1,0,0,1,0,1885,13
54,2,2,2,13440,0,0,0,0,0,0,1965,28
55,2,2,2,0,0,0,0,0,0,0,1797,28
56,2,2,2,896,0,0,0,0,0,0,1841,30
57,2,2,2,0,0,0,0,0,0,0,2135,30
58,2,2,2,0,0,0,0,0,0,0,2263,30
59,2,2,2,0,0,0,0,0,0,0,2222,30
60,2,2,2,0,0,0,0,0,0,0,2202,0
61,2,2,2,0,0,0,0,0,0,0,2210,0
62,3,3,3,14336,0,1,0,0,1,0,2515,15
63,3,3,3,3584,0,0,0,0,0,0,2407,19
64,3,3,3,3584,0,0,0,0,0,0,2425,23
65,3,3,3,0,0,0,0,0,0,0,2634,23
66,9,9,9,6272,0,6,0,0,6,0,2816,29
67,9,9,9,896,0,0,0,0,0,0,2833,31
68,9,9,9,0,0,0,0,0,0,0,2896,31
69,9,9,9,4480,0,0,0,0,0,0,2941,36
70,9,9,9,0,0,0,0,0,0,0,3063,36
71,9,9,9,5376,0,0,0,0,0,0,2977,42
