tick,user,event
40,10482,aware
40,10482,evidence
40,10482,detect
40,2139,aware
40,2139,evidence
40,2139,detect
40,3794,aware
40,3794,evidence
40,3794,detect
40,2268,aware
40,2268,evidence
40,2268,detect
40,4982,aware
40,4982,evidence
40,4982,detect
40,2378,aware
40,2378,evidence
40,2378,detect
40,388,aware
40,388,evidence
40,388,detect
40,876,aware
40,876,evidence
40,876,detect
40,10876,aware
40,10876,evidence
40,10876,detect
40,7026,aware
40,7026,evidence
40,7026,detect
40,1272,aware
40,1272,evidence
40,1272,detect
40,11455,aware
40,11455,evidence
40,11455,detect
40,8440,aware
40,8440,evidence
40,8440,detect
40,6963,aware
40,6963,evidence
40,6963,detect
40,10913,aware
40,10913,evidence
40,10913,detect
40,9185,aware
40,9185,evidence
40,9185,detect
40,6872,aware
40,6872,evidence
40,6872,detect
40,3762,aware
40,3762,evidence
40,3762,detect
40,4313,aware
40,4313,evidence
40,4313,detect
40,4763,aware
40,4763,evidence
40,4763,detect
40,1227,aware
40,1227,evidence
40,1227,detect
40,2140,aware
40,2140,evidence
40,2140,detect
40,7144,aware
40,7144,evidence
40,7144,detect
40,4255,aware
40,4255,evidence
40,4255,detect
40,1212,aware
40,1212,evidence
40,1212,detect
40,7830,aware
40,7830,evidence
40,7830,detect
40,372,aware
40,372,evidence
40,372,detect
40,2421,aware
40,2421,evidence
40,2421,detect
40,10571,aware
40,10571,evidence
40,10571,detect
40,8929,aware
40,8929,evidence
40,8929,detect
40,7032,aware
40,7032,evidence
40,7032,detect
40,7687,aware
40,7687,evidence
40,7687,detect
40,8788,aware
40,8788,evidence
40,8788,detect
40,8602,aware
40,8602,evidence
40,8602,detect
40,8275,aware
40,8275,evidence
40,8275,detect
40,4891,aware
40,4891,evidence
40,4891,detect
40,8344,aware
40,8344,evidence
40,8344,detect
40,9564,aware
40,9564,evidence
40,9564,detect
40,10398,aware
40,10398,evidence
40,10398,detect
40,6826,aware
40,6826,evidence
40,6826,detect
40,11585,aware
40,11585,evidence
40,11585,detect
40,9684,aware
40,9684,evidence
40,9684,detect
40,7655,aware
40,7655,evidence
40,7655,detect
40,10653,aware
40,10653,evidence
40,10653,detect
40,1438,aware
40,1438,evidence
40,1438,detect
40,11866,aware
40,11866,evidence
40,11866,detect
40,2393,aware
40,2393,evidence
40,2393,detect
40,9411,aware
40,9411,evidence
40,9411,detect
40,8728,aware
40,8728,evidence
40,8728,detect
40,1478,aware
40,1478,evidence
40,1478,detect
40,3954,aware
40,3954,evidence
40,3954,detect
40,10757,aware
40,10757,evidence
40,10757,detect
40,11876,aware
40,11876,evidence
40,11876,detect
42,3873,aware
42,3873,evidence
42,3873,detect
42,4448,aware
42,4448,evidence
42,4448,detect
42,3671,aware
42,3671,evidence
42,3671,detect
42,8733,aware
42,8733,evidence
42,8733,detect
42,3099,aware
42,3099,evidence
42,3099,detect
48,11041,aware
48,11041,evidence
48,11041,detect
51,3880,aware
51,3880,evidence
51,3880,detect
51,2818,aware
51,2818,evidence
51,2818,detect
51,6760,aware
51,6760,evidence
51,6760,detect
51,10849,aware
51,10849,evidence
51,10849,detect
68,5092,aware
68,5092,evidence
68,5092,detect
68,9187,aware
68,9187,evidence
68,9187,detect
68,6441,aware
68,6441,evidence
68,6441,detect
70,3049,aware
70,3049,evidence
70,3049,detect
70,915,aware
70,915,evidence
70,915,detect
70,7961,aware
70,7961,evidence
70,7961,detect
70,276,aware
70,276,evidence
70,276,detect
70,11888,aware
70,11888,evidence
70,11888,detect
