tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,16800
1,0,0,0,0,0,0,0,0,0,0,15785
2,0,0,0,0,0,0,0,0,0,0,15502
3,0,0,0,53760,0,0,0,0,0,0,13973
4,0,0,0,64512,0,0,0,0,0,0,14279
5,0,0,0,60032,0,0,0,0,0,0,13826
6,0,0,0,57344,0,0,0,0,0,0,11988
7,0,0,0,60928,0,0,0,0,0,0,12801
8,0,0,0,896,0,0,0,0,0,0,12790
9,0,0,0,0,0,0,0,0,0,0,12463
10,0,0,0,896,0,0,0,0,0,0,11788
11,0,0,0,896,0,0,0,0,0,0,12064
12,0,0,0,0,0,0,0,0,0,0,11539
13,0,0,0,1792,0,0,0,0,0,0,11705
14,0,0,0,0,0,0,0,0,0,0,11503
15,0,0,0,0,0,0,0,0,0,0,11347
16,0,0,0,0,0,0,0,0,0,0,10727
17,0,0,0,0,0,0,0,0,0,0,11172
18,0,0,0,896,0,0,0,0,0,0,10777
19,0,0,0,0,0,0,0,0,0,0,9758
20,0,0,0,0,0,0,0,0,0,0,11284
21,0,0,0,65408,0,0,0,0,0,0,10177
22,0,0,0,51968,0,0,0,0,0,0,10761
23,0,0,0,0,0,0,0,0,0,0,11065
24,0,0,0,0,0,0,0,0,0,0,10835
25,0,0,0,0,0,0,0,0,0,0,10750
26,0,0,0,53760,0,0,0,0,0,0,10547
27,0,0,0,0,0,0,0,0,0,0,11247
28,0,0,0,60032,0,0,0,0,0,0,12003
29,0,0,0,896,0,0,0,0,0,0,11248
30,0,0,0,0,0,0,0,0,0,0,9935
31,0,0,0,0,0,0,0,0,0,0,10468
32,0,0,0,896,0,0,0,0,0,0,11957
33,0,0,0,0,0,0,0,0,0,0,11410
34,0,0,0,0,0,0,0,0,0,0,10812
35,0,0,0,1792,0,0,0,0,0,0,12102
36,0,0,0,0,0,0,0,0,0,0,12589
37,0,0,0,0,0,0,0,0,0,0,12619
38,0,0,0,1792,0,0,0,0,0,0,11484
39,0,0,0,896,0,0,0,0,0,0,12382
40,0,0,0,0,0,0,0,0,0,0,12235
41,0,0,0,0,0,0,0,0,0,0,13373
42,0,0,0,0,0,0,0,0,0,0,14366
43,0,0,0,0,0,0,0,0,0,0,13115
44,0,0,0,0,0,0,0,0,0,0,12794
45,0,0,0,0,0,0,0,0,0,0,13416
46,0,0,0,0,0,0,0,0,0,0,13029
47,2,2,2,111104,0,2,0,0,2,0,15817
48,2,2,2,0,0,0,0,0,0,0,16059
49,2,2,2,0,0,0,0,0,0,0,16373
50,2,2,2,0,0,0,0,0,0,0,15175
51,8,8,8,62720,0,6,0,0,6,0,16786
52,17,17,17,158592,0,9,0,0,9,0,15904
53,17,17,17,0,0,0,0,0,0,0,17941
54,17,17,17,1792,0,0,0,0,0,0,20488
55,17,17,17,0,0,0,0,0,0,0,21265
56,17,17,17,0,0,0,0,0,0,0,19022
57,82,82,82,64512,0,65,0,0,65,0,19699
58,147,147,147,67200,0,65,0,0,65,0,20432
59,147,147,147,0,0,0,0,0,0,0,20776
60,147,147,147,0,0,0,0,0,0,0,21082
61,147,147,147,0,0,0,0,0,0,0,21826
62,147,147,147,0,0,0,0,0,0,0,22521
63,148,148,148,1792,0,1,0,0,1,0,22021
64,148,148,148,896,0,0,0,0,0,0,24969
65,148,148,148,60032,0,0,0,0,0,0,24715
66,149,149,149,1792,0,1,0,0,1,0,24979
67,149,149,149,0,0,0,0,0,0,0,26921
68,149,149,149,0,0,0,0,0,0,0,27700
69,149,149,149,896,0,0,0,0,0,0,27810
70,149,149,149,896,0,0,0,0,0,0,29958
71,149,149,149,896,0,0,0,0,0,0,29399
