users,adoption_fixed,msg_rate_group,avg_group_size,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.05,0.0,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.2,125.0,117.5,130.0,0.2276342501446667,0.2276342501446667,0.26666666666666666,0.26666666666666666,,,
12000,0.05,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.3333333333333333,80.0,40.0,125.0,0.24097965123514226,0.24097965123514226,0.3333333333333333,0.3333333333333333,,,
12000,0.05,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.26666666666666666,122.5,117.5,136.25,0.24587730349205753,0.24587730349205753,0.4,0.4,,,
12000,0.05,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.26666666666666666,105.0,58.75,143.75,0.23262836121066646,0.23262836121066646,0.3333333333333333,0.3333333333333333,,,
12000,0.05,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.3333333333333333,105.0,40.0,120.0,0.16640225638323805,0.16640225638323805,2.4,2.4,,,
12000,0.05,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6,50.0,35.0,110.0,0.3873446161250714,0.3873446161250714,1.8,1.8,,,
12000,0.05,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.3333333333333333,85.0,45.0,115.0,0.20324684785205654,0.20324684785205654,0.8,0.8,,,
12000,0.05,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,92.5,65.0,115.0,0.37476661961296054,0.37476661961296054,3.1333333333333333,3.1333333333333333,,,
12000,0.05,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4666666666666667,110.0,45.0,157.5,0.21096806764643108,0.21096806764643108,1.4,1.4,,,
12000,0.05,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4,130.0,86.25,155.0,0.3183302247289046,0.3183302247289046,1.4,1.4,,,
12000,0.05,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6,75.0,35.0,125.0,0.20193455127417656,0.20193455127417656,1.8666666666666667,1.8666666666666667,,,
12000,0.05,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,85.0,70.0,105.0,0.1852019872359501,0.1852019872359501,3.6666666666666665,3.6666666666666665,,,
12000,0.05,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.5333333333333333,122.5,87.5,155.0,0.2599292938813374,0.2599292938813374,0.9333333333333333,0.9333333333333333,,,
12000,0.05,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6,90.0,80.0,105.0,0.23597163636566496,0.23597163636566496,11.0,11.0,,,
12000,0.05,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,55.0,25.0,75.0,0.2427962068470965,0.2427962068470965,19.0,19.0,,,
12000,0.05,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.2,115.0,57.5,130.0,0.1261606004917549,0.1261606004917549,0.26666666666666666,0.26666666666666666,,,
12000,0.05,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,65.0,47.5,110.0,0.1612129165860193,0.1612129165860193,6.066666666666666,6.066666666666666,,,
12000,0.05,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,85.0,57.5,122.5,0.25728027261586045,0.25728027261586045,9.8,9.8,,,
12000,0.1,0.0,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.26666666666666666,60.0,42.5,93.75,0.5350750147490092,0.5350750147490092,0.3333333333333333,0.3333333333333333,,,
12000,0.1,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,115.0,65.0,150.0,0.41928260639818987,0.41928260639818987,0.8,0.8,,,
12000,0.1,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4666666666666667,65.0,30.0,110.0,0.43807458671987903,0.43807458671987903,0.9333333333333333,0.9333333333333333,,,
12000,0.1,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.3333333333333333,130.0,50.0,135.0,0.4796306352360145,0.4796306352360145,0.3333333333333333,0.3333333333333333,,,
12000,0.1,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,125.0,68.75,135.0,0.44014841890398604,0.44014841890398604,1.0,1.0,,,
12000,0.1,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,60.0,38.75,96.25,0.4070796002487844,0.4070796002487844,7.8,7.8,,,
12000,0.1,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.5333333333333333,102.5,55.0,130.0,0.517542446585822,0.517542446585822,1.0,1.0,,,
12000,0.1,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,70.0,25.0,90.0,0.5491758573999616,0.5491758573999616,3.066666666666667,3.066666666666667,,,
12000,0.1,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,82.5,41.25,123.75,0.5051443188190264,0.5051443188190264,12.733333333333333,12.733333333333333,,,
12000,0.1,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,65.0,37.5,103.75,0.4210893126904472,0.4210893126904472,1.6666666666666667,1.6666666666666667,,,
12000,0.1,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,70.0,37.5,92.5,0.44318276325990413,0.44318276325990413,16.4,16.4,,,
12000,0.1,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,20.0,5.0,40.0,0.47628819383949433,0.47628819383949433,8.0,8.0,,,
12000,0.1,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,90.0,48.75,143.75,0.452845615162646,0.452845615162646,1.9333333333333333,1.9333333333333333,,,
12000,0.1,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,75.0,47.5,95.0,0.42377450820368645,0.42377450820368645,14.466666666666667,14.466666666666667,,,
12000,0.1,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,35.0,17.5,45.0,0.3941522062285808,0.3941522062285808,27.0,27.0,,,
12000,0.1,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,75.0,17.5,111.25,0.4625632576066436,0.4625632576066436,1.8666666666666667,1.8666666666666667,,,
12000,0.1,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,45.0,20.0,80.0,0.4390535236869815,0.4390535236869815,7.733333333333333,7.733333333333333,,,
12000,0.1,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,55.0,25.0,85.0,0.43148784646452704,0.43148784646452704,33.46666666666667,33.46666666666667,,,
12000,0.2,0.0,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,75.0,22.5,115.0,0.9429497453316329,0.9429497453316329,1.2,1.2,,,
12000,0.2,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,80.0,42.5,115.0,0.909793967850613,0.909793967850613,1.3333333333333333,1.3333333333333333,,,
12000,0.2,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,80.0,47.5,117.5,0.9452705355119304,0.9452705355119304,1.2,1.2,,,
12000,0.2,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,100.0,60.0,135.0,0.9675228403803273,0.9675228403803273,1.3333333333333333,1.3333333333333333,,,
12000,0.2,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,52.5,20.0,126.25,0.6910592625157457,0.6910592625157457,2.4,2.4,,,
12000,0.2,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,30.0,6.25,76.25,0.762055495215405,0.762055495215405,4.6,4.6,,,
12000,0.2,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,80.0,46.25,130.0,0.7718847766778156,0.7718847766778156,1.6666666666666667,1.6666666666666667,,,
12000,0.2,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,40.0,27.5,60.0,0.9708065814072246,0.9708065814072246,8.333333333333334,8.333333333333334,,,
12000,0.2,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,65.0,32.5,97.5,0.6327929245036751,0.6327929245036751,10.133333333333333,10.133333333333333,,,
12000,0.2,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,85.0,20.0,125.0,0.9550908998250333,0.9550908998250333,2.0,2.0,,,
12000,0.2,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,50.0,40.0,62.5,0.8923911283977027,0.8923911283977027,11.666666666666666,11.666666666666666,,,
12000,0.2,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,35.0,20.0,60.0,0.8024455808180437,0.8024455808180437,25.533333333333335,25.533333333333335,,,
12000,0.2,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,57.5,36.25,112.5,0.91403444241333,0.91403444241333,3.466666666666667,3.466666666666667,,,
12000,0.2,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,25.0,7.5,42.5,0.8873407272653236,0.8873407272653236,20.266666666666666,20.266666666666666,,,
12000,0.2,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,10.0,2.5,45.0,0.9421438076954411,0.9421438076954411,51.8,51.8,,,
12000,0.2,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,57.5,41.25,90.0,0.9111301878466659,0.9111301878466659,4.8,4.8,,,
12000,0.2,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,10.0,2.5,25.0,0.864587063638932,0.864587063638932,25.6,25.6,,,
12000,0.2,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,15.0,2.5,45.0,0.8949204796554019,0.8949204796554019,60.733333333333334,60.733333333333334,,,
