tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,12544,0,0,0,0,0,0,2924,12000
1,0,0,0,0,0,0,0,0,0,0,2950,12000
2,0,0,0,0,0,0,0,0,0,0,2735,12000
3,0,0,0,0,0,0,0,0,0,0,2782,12000
4,0,0,0,0,0,0,0,0,0,0,2663,12000
5,0,0,0,896,0,0,0,0,0,0,2361,12000
6,0,0,0,896,0,0,0,0,0,0,2440,12000
7,0,0,0,0,0,0,0,0,0,0,2161,12000
8,0,0,0,0,0,0,0,0,0,0,2068,12000
9,0,0,0,0,0,0,0,0,0,0,2185,12000
10,0,0,0,9856,0,0,0,0,0,0,2285,12000
11,0,0,0,0,0,0,0,0,0,0,2184,12000
12,0,0,0,0,0,0,0,0,0,0,2368,0
13,0,0,0,0,0,0,0,0,0,0,1861,0
14,0,0,0,7168,0,0,0,0,0,0,1905,8
15,0,0,0,0,0,0,0,0,0,0,2003,8
16,0,0,0,896,0,0,0,0,0,0,1884,10
17,0,0,0,7168,0,0,0,0,0,0,2188,10
18,0,0,0,8064,0,0,0,0,0,0,2044,18
19,0,0,0,4480,0,0,0,0,0,0,1994,23
20,0,0,0,0,0,0,0,0,0,0,1990,23
21,0,0,0,10752,0,0,0,0,0,0,1896,35
22,0,0,0,7168,0,0,0,0,0,0,1838,43
23,0,0,0,0,0,0,0,0,0,0,1773,43
24,0,0,0,0,0,0,0,0,0,0,1935,0
25,0,0,0,0,0,0,0,0,0,0,1733,0
26,0,0,0,0,0,0,0,0,0,0,1772,0
27,0,0,0,0,0,0,0,0,0,0,1717,0
28,0,0,0,9856,0,0,0,0,0,0,1985,11
29,0,0,0,0,0,0,0,0,0,0,1667,11
30,0,0,0,0,0,0,0,0,0,0,1876,11
31,0,0,0,0,0,0,0,0,0,0,1877,11
32,0,0,0,0,0,0,0,0,0,0,1852,11
33,0,0,0,0,0,0,0,0,0,0,1918,11
34,0,0,0,0,0,0,0,0,0,0,1922,11
35,0,0,0,0,0,0,0,0,0,0,1901,11
36,0,0,0,0,0,0,0,0,0,0,2009,0
37,0,0,0,0,0,0,0,0,0,0,2071,0
38,0,0,0,0,0,0,0,0,0,0,2048,0
39,0,0,0,8960,0,0,0,0,0,0,2102,10
40,0,0,0,0,0,0,0,0,0,0,1932,10
41,0,0,0,0,0,0,0,0,0,0,2218,10
42,0,0,0,0,0,0,0,0,0,0,2115,10
43,0,0,0,7168,0,0,0,0,0,0,2295,18
44,0,0,0,14336,0,0,0,0,0,0,2416,34
45,0,0,0,0,0,0,0,0,0,0,2602,34
46,0,0,0,0,0,0,0,0,0,0,2331,34
47,0,0,0,11648,0,0,0,0,0,0,2477,41
48,0,0,0,4480,0,0,0,0,0,0,2311,5
49,0,0,0,896,0,0,0,0,0,0,2661,7
50,0,0,0,0,0,0,0,0,0,0,2747,7
51,0,0,0,0,0,0,0,0,0,0,2700,7
52,0,0,0,896,0,0,0,0,0,0,2764,9
53,0,0,0,0,0,0,0,0,0,0,2994,9
54,2,2,2,8960,0,2,0,0,2,0,2693,17
55,2,2,2,0,0,0,0,0,0,0,3029,17
56,2,2,2,0,0,0,0,0,0,0,3179,17
57,2,2,2,0,0,0,0,0,0,0,3346,17
58,8,8,8,6272,0,6,0,0,6,0,3256,23
59,9,9,9,11648,0,1,0,0,1,0,3597,35
60,9,9,9,0,0,0,0,0,0,0,3341,0
61,10,10,10,8960,0,1,0,0,1,0,3738,9
62,10,10,10,0,0,0,0,0,0,0,3429,9
63,10,10,10,7168,0,0,0,0,0,0,4039,17
64,10,10,10,0,0,0,0,0,0,0,3851,17
65,11,11,11,7168,0,1,0,0,1,0,4156,24
66,11,11,11,0,0,0,0,0,0,0,4335,24
67,11,11,11,0,0,0,0,0,0,0,4193,24
68,11,11,11,6272,0,0,0,0,0,0,4262,31
69,11,11,11,0,0,0,0,0,0,0,4401,31
70,11,11,11,0,0,0,0,0,0,0,4625,31
71,11,11,11,7168,0,0,0,0,0,0,4814,39
