tick,user,event
36,11659,aware
36,11659,evidence
36,11659,detect
36,11388,aware
36,11388,evidence
36,11388,detect
36,701,aware
36,701,evidence
36,701,detect
36,2419,aware
36,2419,evidence
36,2419,detect
36,9550,aware
36,9550,evidence
36,9550,detect
36,1256,aware
36,1256,evidence
36,1256,detect
48,7081,aware
48,7081,evidence
48,7081,detect
48,4156,aware
48,4156,evidence
48,4156,detect
48,7112,aware
48,7112,evidence
48,7112,detect
48,11460,aware
48,11460,evidence
48,11460,detect
48,5004,aware
48,5004,evidence
48,5004,detect
48,6910,aware
48,6910,evidence
48,6910,detect
48,7757,aware
48,7757,evidence
48,7757,detect
48,3395,aware
48,3395,evidence
48,3395,detect
53,4887,aware
53,4887,evidence
53,4887,detect
54,852,aware
54,852,evidence
54,852,detect
60,7812,aware
60,7812,evidence
60,7812,detect
63,11215,aware
63,11215,evidence
63,11215,detect
67,4905,aware
67,4905,evidence
67,4905,detect
69,7462,aware
69,7462,evidence
69,7462,detect
71,10919,aware
71,10919,evidence
71,10919,detect
71,3944,aware
71,3944,evidence
71,3944,detect
71,6875,aware
71,6875,evidence
71,6875,detect
71,37,aware
71,37,evidence
71,37,detect
71,6860,aware
71,6860,evidence
71,6860,detect
71,435,aware
71,435,evidence
71,435,detect
71,8765,aware
71,8765,evidence
71,8765,detect
71,4484,aware
71,4484,evidence
71,4484,detect
71,6284,aware
71,6284,evidence
71,6284,detect
71,5030,aware
71,5030,evidence
71,5030,detect
71,2959,aware
71,2959,evidence
71,2959,detect
71,8967,aware
71,8967,evidence
71,8967,detect
71,2993,aware
71,2993,evidence
71,2993,detect
71,2952,aware
71,2952,evidence
71,2952,detect
