tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,2481,12000
1,0,0,0,0,0,0,0,0,0,0,2697,12000
2,0,0,0,0,0,0,0,0,0,0,2170,12000
3,0,0,0,8960,0,0,0,0,0,0,2601,12000
4,0,0,0,0,0,0,0,0,0,0,2683,12000
5,0,0,0,0,0,0,0,0,0,0,2306,12000
6,0,0,0,0,0,0,0,0,0,0,2435,12000
7,0,0,0,0,0,0,0,0,0,0,2007,12000
8,0,0,0,0,0,0,0,0,0,0,2229,12000
9,0,0,0,8960,0,0,0,0,0,0,2290,12000
10,0,0,0,4480,0,0,0,0,0,0,2136,12000
11,0,0,0,0,0,0,0,0,0,0,2016,12000
12,0,0,0,0,0,0,0,0,0,0,1837,0
13,0,0,0,0,0,0,0,0,0,0,2057,0
14,0,0,0,23296,0,0,0,0,0,0,2068,26
15,0,0,0,0,0,0,0,0,0,0,1962,26
16,0,0,0,0,0,0,0,0,0,0,1901,26
17,0,0,0,0,0,0,0,0,0,0,1935,26
18,0,0,0,0,0,0,0,0,0,0,1825,26
19,0,0,0,0,0,0,0,0,0,0,1856,26
20,0,0,0,0,0,0,0,0,0,0,1911,26
21,0,0,0,0,0,0,0,0,0,0,1834,26
22,0,0,0,0,0,0,0,0,0,0,1736,26
23,0,0,0,8960,0,0,0,0,0,0,1910,37
24,0,0,0,10752,0,0,0,0,0,0,1762,12
25,0,0,0,0,0,0,0,0,0,0,1880,12
26,0,0,0,0,0,0,0,0,0,0,1797,12
27,0,0,0,0,0,0,0,0,0,0,1894,12
28,0,0,0,0,0,0,0,0,0,0,1711,12
29,0,0,0,9856,0,0,0,0,0,0,2067,23
30,0,0,0,0,0,0,0,0,0,0,2034,23
31,0,0,0,10752,0,0,0,0,0,0,2152,35
32,0,0,0,0,0,0,0,0,0,0,1900,35
33,0,0,0,15232,0,0,0,0,0,0,2065,52
34,0,0,0,0,0,0,0,0,0,0,2087,52
35,0,0,0,0,0,0,0,0,0,0,2134,52
36,0,0,0,3584,0,0,0,0,0,0,2080,5
37,0,0,0,4480,0,0,0,0,0,0,2174,10
38,0,0,0,0,0,0,0,0,0,0,2302,10
39,0,0,0,0,0,0,0,0,0,0,2456,10
40,0,0,0,0,0,0,0,0,0,0,2296,10
41,0,0,0,0,0,0,0,0,0,0,2314,10
42,0,0,0,896,0,0,0,0,0,0,2397,12
43,0,0,0,0,0,0,0,0,0,0,2563,12
44,0,0,0,8960,0,0,0,0,0,0,2502,22
45,0,0,0,0,0,0,0,0,0,0,2426,22
46,0,0,0,896,0,0,0,0,0,0,2678,24
47,2,2,2,11648,0,2,0,0,2,0,2968,35
48,2,2,2,896,0,0,0,0,0,0,2632,2
49,2,2,2,0,0,0,0,0,0,0,3074,2
50,3,3,3,12544,0,1,0,0,1,0,2824,15
51,3,3,3,8960,0,0,0,0,0,0,2856,25
52,3,3,3,0,0,0,0,0,0,0,2919,25
53,3,3,3,12544,0,1,0,0,1,0,3065,25
54,3,3,3,0,0,0,0,0,0,0,3428,25
55,3,3,3,0,0,0,0,0,0,0,3671,25
56,3,3,3,0,0,0,0,0,0,0,3376,25
57,3,3,3,0,0,0,0,0,0,0,3347,25
58,4,4,4,25088,0,1,0,0,1,0,3647,52
59,4,4,4,0,0,0,0,0,0,0,3952,52
60,5,5,5,10752,0,1,0,0,1,0,3820,11
61,6,6,6,16128,0,1,0,0,1,0,3948,28
62,6,6,6,13440,0,0,0,0,0,0,4282,43
63,6,6,6,0,0,0,0,0,0,0,4307,43
64,6,6,6,0,0,0,0,0,0,0,4191,43
65,13,13,13,14336,0,7,0,0,7,0,4354,58
66,13,13,13,7168,0,0,0,0,0,0,4249,66
67,13,13,13,19712,0,1,0,0,1,0,4711,76
68,13,13,13,0,0,0,0,0,0,0,4721,76
69,13,13,13,0,0,0,0,0,0,0,4642,76
70,13,13,13,0,0,0,0,0,0,0,4939,76
71,13,13,13,9856,0,0,0,0,0,0,4756,87
