structure,p_gossip,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,reps
1:1 only,0.002,0.08333333333333333,130.0,130.0,130.0,12
1:1 only,0.003,0.3333333333333333,142.5,111.25,160.0,12
1:1 only,0.005,0.6666666666666666,105.0,53.75,151.25,12
1:1 only,0.008,0.8333333333333334,57.5,42.5,132.5,12
1:1 only,0.012,0.9166666666666666,60.0,45.0,125.0,12
1:1 only,0.02,1.0,50.0,22.5,68.75,12
Groups within-cut,0.002,0.75,80.0,50.0,125.0,12
Groups within-cut,0.003,0.9166666666666666,100.0,57.5,152.5,12
Groups within-cut,0.005,1.0,80.0,46.25,101.25,12
Groups within-cut,0.008,1.0,52.5,30.0,97.5,12
Groups within-cut,0.012,1.0,32.5,13.75,52.5,12
Groups within-cut,0.02,1.0,10.0,7.5,31.25,12
Groups cross-cut,0.002,0.5833333333333334,80.0,55.0,140.0,12
Groups cross-cut,0.003,0.6666666666666666,107.5,58.75,145.0,12
Groups cross-cut,0.005,0.75,80.0,40.0,135.0,12
Groups cross-cut,0.008,1.0,62.5,37.5,106.25,12
Groups cross-cut,0.012,1.0,32.5,13.75,70.0,12
Groups cross-cut,0.02,1.0,17.5,10.0,31.25,12
