tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,2768,12000
1,0,0,0,0,0,0,0,0,0,0,2807,12000
2,0,0,0,0,0,0,0,0,0,0,2766,12000
3,0,0,0,0,0,0,0,0,0,0,2458,12000
4,0,0,0,9856,0,0,0,0,0,0,2371,12000
5,0,0,0,14336,0,0,0,0,0,0,2692,12000
6,0,0,0,0,0,0,0,0,0,0,2238,12000
7,0,0,0,0,0,0,0,0,0,0,2151,12000
8,0,0,0,896,0,0,0,0,0,0,2213,12000
9,0,0,0,0,0,0,0,0,0,0,2435,12000
10,0,0,0,0,0,0,0,0,0,0,2243,12000
11,0,0,0,0,0,0,0,0,0,0,2100,12000
12,0,0,0,0,0,0,0,0,0,0,2336,0
13,0,0,0,0,0,0,0,0,0,0,2080,0
14,0,0,0,7168,0,0,0,0,0,0,1917,8
15,0,0,0,0,0,0,0,0,0,0,2087,8
16,0,0,0,7168,0,0,0,0,0,0,2085,16
17,0,0,0,0,0,0,0,0,0,0,1793,16
18,0,0,0,0,0,0,0,0,0,0,2007,16
19,0,0,0,0,0,0,0,0,0,0,1945,16
20,0,0,0,0,0,0,0,0,0,0,1935,16
21,0,0,0,5376,0,0,0,0,0,0,1834,21
22,0,0,0,0,0,0,0,0,0,0,1927,21
23,0,0,0,0,0,0,0,0,0,0,1964,21
24,0,0,0,8064,0,0,0,0,0,0,1770,9
25,0,0,0,0,0,0,0,0,0,0,1722,9
26,0,0,0,0,0,0,0,0,0,0,1811,9
27,0,0,0,7168,0,0,0,0,0,0,1894,17
28,0,0,0,896,0,0,0,0,0,0,2117,19
29,0,0,0,0,0,0,0,0,0,0,1945,19
30,0,0,0,8064,0,0,0,0,0,0,1779,28
31,0,0,0,0,0,0,0,0,0,0,2054,28
32,0,0,0,0,0,0,0,0,0,0,2081,28
33,0,0,0,6272,0,0,0,0,0,0,1953,35
34,0,0,0,0,0,0,0,0,0,0,1667,35
35,0,0,0,0,0,0,0,0,0,0,2117,35
36,0,0,0,0,0,0,0,0,0,0,1972,0
37,0,0,0,7168,0,0,0,0,0,0,2160,8
38,0,0,0,0,0,0,0,0,0,0,2334,8
39,0,0,0,0,0,0,0,0,0,0,2244,8
40,0,0,0,0,0,0,0,0,0,0,2018,8
41,0,0,0,896,0,0,0,0,0,0,2219,10
42,0,0,0,0,0,0,0,0,0,0,2493,10
43,0,0,0,0,0,0,0,0,0,0,2350,10
44,0,0,0,0,0,0,0,0,0,0,2536,10
45,0,0,0,0,0,0,0,0,0,0,2551,10
46,0,0,0,896,0,0,0,0,0,0,2583,12
47,0,0,0,0,0,0,0,0,0,0,2655,12
48,0,0,0,896,0,0,0,0,0,0,2822,2
49,0,0,0,0,0,0,0,0,0,0,2583,2
50,0,0,0,4480,0,0,0,0,0,0,2978,8
51,0,0,0,0,0,0,0,0,0,0,2921,8
52,0,0,0,0,0,0,0,0,0,0,2941,8
53,0,0,0,0,0,0,0,0,0,0,3243,8
54,0,0,0,0,0,0,0,0,0,0,3106,8
55,0,0,0,0,0,0,0,0,0,0,3306,8
56,0,0,0,896,0,0,0,0,0,0,3328,10
57,0,0,0,7168,0,0,0,0,0,0,3826,18
58,1,1,1,23296,0,1,0,0,1,0,3583,45
59,1,1,1,8064,0,0,0,0,0,0,3643,54
60,1,1,1,0,0,0,0,0,0,0,3923,0
61,1,1,1,0,0,0,0,0,0,0,4035,0
62,1,1,1,0,0,0,0,0,0,0,3816,0
63,7,7,7,6272,0,6,0,0,6,0,3843,6
64,7,7,7,896,0,0,0,0,0,0,4205,8
65,7,7,7,0,0,0,0,0,0,0,4333,8
66,7,7,7,7168,0,0,0,0,0,0,4233,16
67,8,8,8,18816,0,1,0,0,1,0,4299,36
68,9,9,9,8960,0,1,0,0,1,0,4206,45
69,9,9,9,0,0,0,0,0,0,0,4591,45
70,9,9,9,0,0,0,0,0,0,0,4739,45
71,9,9,9,0,0,0,0,0,0,0,4702,45
