tick,user,event
53,8007,aware
53,8007,evidence
53,8007,detect
58,5235,aware
58,5235,evidence
58,5235,detect
62,6706,aware
62,6706,evidence
62,6706,detect
62,11102,aware
62,11102,evidence
62,11102,detect
62,1132,aware
62,1132,evidence
62,1132,detect
62,11117,aware
62,11117,evidence
62,11117,detect
62,984,aware
62,984,evidence
62,984,detect
62,10005,aware
62,10005,evidence
62,10005,detect
62,3406,aware
62,3406,evidence
62,3406,detect
62,11920,aware
62,11920,evidence
62,11920,detect
62,7850,aware
62,7850,evidence
62,7850,detect
62,5976,aware
62,5976,evidence
62,5976,detect
63,2801,aware
63,2801,evidence
63,2801,detect
63,8314,aware
63,8314,evidence
63,8314,detect
65,4770,aware
65,4770,evidence
65,4770,detect
67,11901,aware
67,11901,evidence
67,11901,detect
67,754,aware
67,754,evidence
67,754,detect
