tick,user,event
43,2324,aware
43,2324,evidence
43,2324,detect
43,1733,aware
43,1733,evidence
43,1733,detect
48,1352,aware
48,1352,evidence
48,1352,detect
50,1112,aware
50,1112,evidence
50,1112,detect
59,4187,aware
59,4187,evidence
59,4187,detect
62,9906,aware
62,9906,evidence
62,9906,detect
63,1378,aware
63,1378,evidence
63,1378,detect
63,10723,aware
63,10723,evidence
63,10723,detect
71,5391,aware
71,5391,evidence
71,5391,detect
71,2008,aware
71,2008,evidence
71,2008,detect
71,11669,aware
71,11669,evidence
71,11669,detect
71,1721,aware
71,1721,evidence
71,1721,detect
71,7900,aware
71,7900,evidence
71,7900,detect
71,6011,aware
71,6011,evidence
71,6011,detect
71,11575,aware
71,11575,evidence
71,11575,detect
71,1181,aware
71,1181,evidence
71,1181,detect
71,3478,aware
71,3478,evidence
71,3478,detect
71,9308,aware
71,9308,evidence
71,9308,detect
