users,adoption,msg_rate_group,avg_group_size,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.05,0.0,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.13333333333333333,140.0,130.0,150.0,0.23660583198423218,0.23660583198423218,0.13333333333333333,0.13333333333333333,,,
12000,0.05,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.2,90.0,87.5,97.5,0.18839417105312636,0.18839417105312636,0.3333333333333333,0.3333333333333333,,,
12000,0.05,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.13333333333333333,42.5,26.25,58.75,0.19991040712218008,0.19991040712218008,0.13333333333333333,0.13333333333333333,,,
12000,0.05,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.13333333333333333,155.0,150.0,160.0,0.25568353853363485,0.25568353853363485,0.13333333333333333,0.13333333333333333,,,
12000,0.05,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.5333333333333333,47.5,40.0,70.0,0.37529151681861556,0.37529151681861556,1.3333333333333333,1.3333333333333333,,,
12000,0.05,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4666666666666667,50.0,20.0,120.0,0.19450111994516553,0.19450111994516553,4.066666666666666,4.066666666666666,,,
12000,0.05,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.2,130.0,102.5,150.0,0.19866554555762314,0.19866554555762314,0.2,0.2,,,
12000,0.05,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,130.0,87.5,163.75,0.16177139190291773,0.16177139190291773,0.9333333333333333,0.9333333333333333,,,
12000,0.05,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4666666666666667,40.0,25.0,102.5,0.1741244966261817,0.1741244966261817,2.1333333333333333,2.1333333333333333,,,
12000,0.05,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4,112.5,80.0,122.5,0.20190414533576045,0.20190414533576045,0.5333333333333333,0.5333333333333333,,,
12000,0.05,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,85.0,65.0,130.0,0.2771770974467691,0.2771770974467691,4.6,4.6,,,
12000,0.05,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,70.0,35.0,95.0,0.21343597633555336,0.21343597633555336,7.2,7.2,,,
12000,0.05,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6,85.0,50.0,115.0,0.2635486503292451,0.2635486503292451,1.6666666666666667,1.6666666666666667,,,
12000,0.05,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,52.5,33.75,67.5,0.22863876782391193,0.22863876782391193,2.7333333333333334,2.7333333333333334,,,
12000,0.05,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,52.5,31.25,105.0,0.25359463018141054,0.25359463018141054,23.066666666666666,23.066666666666666,,,
12000,0.05,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4,117.5,57.5,128.75,0.21012653801263756,0.21012653801263756,0.9333333333333333,0.9333333333333333,,,
12000,0.05,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,80.0,35.0,115.0,0.21423799776377528,0.21423799776377528,6.2,6.2,,,
12000,0.05,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,85.0,30.0,115.0,0.2232709145565547,0.2232709145565547,18.8,18.8,,,
12000,0.1,0.0,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4,32.5,22.5,53.75,0.44693029169562964,0.44693029169562964,0.6666666666666666,0.6666666666666666,,,
12000,0.1,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,137.5,77.5,152.5,0.40880768662633593,0.40880768662633593,1.0666666666666667,1.0666666666666667,,,
12000,0.1,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.26666666666666666,115.0,100.0,130.0,0.4441141363727095,0.4441141363727095,0.3333333333333333,0.3333333333333333,,,
12000,0.1,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4666666666666667,80.0,40.0,135.0,0.45976749751379686,0.45976749751379686,1.6,1.6,,,
12000,0.1,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4,40.0,16.25,131.25,0.3292203262258147,0.3292203262258147,3.0,3.0,,,
12000,0.1,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,75.0,15.0,130.0,0.5790593715110272,0.5790593715110272,4.0,4.0,,,
12000,0.1,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.4,77.5,25.0,126.25,0.44386012848682527,0.44386012848682527,0.5333333333333333,0.5333333333333333,,,
12000,0.1,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,75.0,45.0,137.5,0.2968476465194559,0.2968476465194559,2.1333333333333333,2.1333333333333333,,,
12000,0.1,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,70.0,26.25,101.25,0.4222643427799267,0.4222643427799267,24.866666666666667,24.866666666666667,,,
12000,0.1,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,55.0,40.0,120.0,0.4852477476948151,0.4852477476948151,1.0666666666666667,1.0666666666666667,,,
12000,0.1,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,45.0,10.0,80.0,0.3630720385678738,0.3630720385678738,7.2,7.2,,,
12000,0.1,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,55.0,20.0,70.0,0.48679641322184586,0.48679641322184586,16.2,16.2,,,
12000,0.1,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,30.0,12.5,63.75,0.49473737168859155,0.49473737168859155,2.7333333333333334,2.7333333333333334,,,
12000,0.1,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,37.5,27.5,70.0,0.3725095563357794,0.3725095563357794,16.466666666666665,16.466666666666665,,,
12000,0.1,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,40.0,30.0,75.0,0.5202444116004089,0.5202444116004089,27.0,27.0,,,
12000,0.1,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,97.5,45.0,111.25,0.40391100216398806,0.40391100216398806,2.8,2.8,,,
12000,0.1,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,45.0,27.5,70.0,0.4312289864301866,0.4312289864301866,12.066666666666666,12.066666666666666,,,
12000,0.1,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,40.0,22.5,50.0,0.4280822540010767,0.4280822540010767,28.666666666666668,28.666666666666668,,,
12000,0.2,0.0,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7333333333333333,125.0,92.5,142.5,0.9279516095815553,0.9279516095815553,1.0666666666666667,1.0666666666666667,,,
12000,0.2,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.6666666666666666,105.0,26.25,133.75,0.8856434373457631,0.8856434373457631,1.0,1.0,,,
12000,0.2,0.0,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8,97.5,83.75,142.5,0.7851178955653724,0.7851178955653724,1.3333333333333333,1.3333333333333333,,,
12000,0.2,0.02,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,85.0,50.0,160.0,0.8429950168803223,0.8429950168803223,1.8,1.8,,,
12000,0.2,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8666666666666667,50.0,15.0,135.0,0.9011000695249732,0.9011000695249732,8.2,8.2,,,
12000,0.2,0.02,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,32.5,21.25,72.5,1.253523375733118,1.253523375733118,10.733333333333333,10.733333333333333,,,
12000,0.2,0.04,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,57.5,21.25,125.0,0.9537128295743481,0.9537128295743481,1.9333333333333333,1.9333333333333333,,,
12000,0.2,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,57.5,46.25,90.0,0.9213838471194931,0.9213838471194931,5.533333333333333,5.533333333333333,,,
12000,0.2,0.04,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,42.5,25.0,48.75,1.0263686325877333,1.0263686325877333,15.733333333333333,15.733333333333333,,,
12000,0.2,0.08,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,82.5,60.0,123.75,1.0433025520368315,1.0433025520368315,2.2,2.2,,,
12000,0.2,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,40.0,15.0,72.5,0.8605218788676363,0.8605218788676363,20.133333333333333,20.133333333333333,,,
12000,0.2,0.08,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,20.0,12.5,40.0,0.9790990427690058,0.9790990427690058,27.8,27.8,,,
12000,0.2,0.12,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,77.5,62.5,123.75,0.8160175633887976,0.8160175633887976,4.4,4.4,,,
12000,0.2,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,10.0,0.0,20.0,0.9697717511284818,0.9697717511284818,19.6,19.6,,,
12000,0.2,0.12,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,25.0,5.0,52.5,0.8225088530993169,0.8225088530993169,42.86666666666667,42.86666666666667,,,
12000,0.2,0.16,8,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9333333333333333,57.5,30.0,97.5,0.9642284275946679,0.9642284275946679,6.0,6.0,,,
12000,0.2,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,25.0,10.0,30.0,0.8212901307456761,0.8212901307456761,27.466666666666665,27.466666666666665,,,
12000,0.2,0.16,64,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0,15.0,5.0,50.0,0.8551630595784917,0.8551630595784917,57.733333333333334,57.733333333333334,,,
