tick,user,event
54,10689,aware
54,10689,evidence
54,10689,detect
54,9399,aware
54,9399,evidence
54,9399,detect
54,7109,aware
54,7109,evidence
54,7109,detect
54,4650,aware
54,4650,evidence
54,4650,detect
67,10923,aware
67,10923,evidence
67,10923,detect
67,7848,aware
67,7848,evidence
67,7848,detect
67,10341,aware
67,10341,evidence
67,10341,detect
67,3829,aware
67,3829,evidence
67,3829,detect
71,284,aware
71,284,evidence
71,284,detect
71,36,aware
71,36,evidence
71,36,detect
71,7163,aware
71,7163,evidence
71,7163,detect
71,5571,aware
71,5571,evidence
71,5571,detect
