tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,14641
1,0,0,0,0,0,0,0,0,0,0,15975
2,0,0,0,0,0,0,0,0,0,0,14632
3,0,0,0,1792,0,0,0,0,0,0,14431
4,0,0,0,896,0,0,0,0,0,0,14085
5,0,0,0,0,0,0,0,0,0,0,13615
6,0,0,0,896,0,0,0,0,0,0,13243
7,0,0,0,896,0,0,0,0,0,0,12767
8,0,0,0,896,0,0,0,0,0,0,13202
9,0,0,0,50176,0,0,0,0,0,0,12040
10,0,0,0,60928,0,0,0,0,0,0,11402
11,0,0,0,896,0,0,0,0,0,0,11811
12,0,0,0,0,0,0,0,0,0,0,12508
13,0,0,0,0,0,0,0,0,0,0,13002
14,0,0,0,896,0,0,0,0,0,0,12804
15,0,0,0,0,0,0,0,0,0,0,11460
16,0,0,0,0,0,0,0,0,0,0,11151
17,0,0,0,1792,0,0,0,0,0,0,13036
18,0,0,0,0,0,0,0,0,0,0,10777
19,0,0,0,896,0,0,0,0,0,0,11908
20,0,0,0,57344,0,0,0,0,0,0,11792
21,0,0,0,0,0,0,0,0,0,0,12918
22,0,0,0,896,0,0,0,0,0,0,11588
23,0,0,0,0,0,0,0,0,0,0,10585
24,0,0,0,0,0,0,0,0,0,0,11046
25,0,0,0,896,0,0,0,0,0,0,11181
26,0,0,0,0,0,0,0,0,0,0,9951
27,0,0,0,0,0,0,0,0,0,0,12181
28,0,0,0,0,0,0,0,0,0,0,11531
29,0,0,0,0,0,0,0,0,0,0,11403
30,0,0,0,0,0,0,0,0,0,0,12584
31,0,0,0,0,0,0,0,0,0,0,10957
32,0,0,0,0,0,0,0,0,0,0,11838
33,0,0,0,63616,0,0,0,0,0,0,11794
34,0,0,0,56448,0,0,0,0,0,0,12276
35,0,0,0,0,0,0,0,0,0,0,12381
36,0,0,0,0,0,0,0,0,0,0,13789
37,2,2,2,55552,0,2,0,0,2,0,12714
38,2,2,2,0,0,0,0,0,0,0,12188
39,2,2,2,0,0,0,0,0,0,0,13572
40,2,2,2,0,0,0,0,0,0,0,13092
41,2,2,2,896,0,0,0,0,0,0,14327
42,2,2,2,896,0,0,0,0,0,0,13620
43,2,2,2,0,0,0,0,0,0,0,14550
44,2,2,2,0,0,0,0,0,0,0,14015
45,9,9,9,64512,0,7,0,0,7,0,13280
46,9,9,9,0,0,0,0,0,0,0,14699
47,9,9,9,1792,0,0,0,0,0,0,15747
48,9,9,9,1792,0,0,0,0,0,0,17008
49,11,11,11,58240,0,3,0,0,3,0,15447
50,11,11,11,0,0,0,0,0,0,0,15277
51,11,11,11,896,0,0,0,0,0,0,16741
52,11,11,11,0,0,0,0,0,0,0,16783
53,13,13,13,102144,0,2,0,0,2,0,17839
54,13,13,13,896,0,0,0,0,0,0,18590
55,17,17,17,53760,0,4,0,0,4,0,20027
56,18,18,18,63616,0,1,0,0,1,0,18800
57,18,18,18,0,0,0,0,0,0,0,18618
58,18,18,18,0,0,0,0,0,0,0,19795
59,18,18,18,0,0,0,0,0,0,0,19400
60,18,18,18,0,0,0,0,0,0,0,21413
61,18,18,18,0,0,0,0,0,0,0,22779
62,18,18,18,54656,0,0,0,0,0,0,24280
63,18,18,18,43008,0,0,0,0,0,0,24324
64,18,18,18,896,0,0,0,0,0,0,23433
65,22,22,22,61824,0,4,0,0,4,0,23848
66,23,23,23,2688,0,1,0,0,1,0,27281
67,23,23,23,896,0,0,0,0,0,0,26640
68,23,23,23,896,0,0,0,0,0,0,29265
69,29,29,29,126336,0,6,0,0,6,0,28986
70,29,29,29,896,0,0,0,0,0,0,28778
71,29,29,29,1792,0,0,0,0,0,0,28029
