tick,user,event
36,10709,aware
36,10709,evidence
36,10709,detect
36,7462,aware
36,7462,evidence
36,7462,detect
36,7162,aware
36,7162,evidence
36,7162,detect
36,6225,aware
36,6225,evidence
36,6225,detect
36,2060,aware
36,2060,evidence
36,2060,detect
36,8750,aware
36,8750,evidence
36,8750,detect
36,7918,aware
36,7918,evidence
36,7918,detect
36,667,aware
36,667,evidence
36,667,detect
36,5935,aware
36,5935,evidence
36,5935,detect
36,8449,aware
36,8449,evidence
36,8449,detect
36,736,aware
36,736,evidence
36,736,detect
36,9432,aware
36,9432,evidence
36,9432,detect
36,10917,aware
36,10917,evidence
36,10917,detect
36,10460,aware
36,10460,evidence
36,10460,detect
36,11535,aware
36,11535,evidence
36,11535,detect
36,38,aware
36,38,evidence
36,38,detect
36,6021,aware
36,6021,evidence
36,6021,detect
36,11397,aware
36,11397,evidence
36,11397,detect
36,9707,aware
36,9707,evidence
36,9707,detect
36,6382,aware
36,6382,evidence
36,6382,detect
36,3203,aware
36,3203,evidence
36,3203,detect
36,7802,aware
36,7802,evidence
36,7802,detect
36,9565,aware
36,9565,evidence
36,9565,detect
36,5297,aware
36,5297,evidence
36,5297,detect
36,2867,aware
36,2867,evidence
36,2867,detect
36,6373,aware
36,6373,evidence
36,6373,detect
36,10452,aware
36,10452,evidence
36,10452,detect
36,6757,aware
36,6757,evidence
36,6757,detect
36,1929,aware
36,1929,evidence
36,1929,detect
36,3358,aware
36,3358,evidence
36,3358,detect
36,2332,aware
36,2332,evidence
36,2332,detect
36,11571,aware
36,11571,evidence
36,11571,detect
36,7344,aware
36,7344,evidence
36,7344,detect
36,4158,aware
36,4158,evidence
36,4158,detect
36,1280,aware
36,1280,evidence
36,1280,detect
36,5256,aware
36,5256,evidence
36,5256,detect
36,2918,aware
36,2918,evidence
36,2918,detect
36,3661,aware
36,3661,evidence
36,3661,detect
36,4488,aware
36,4488,evidence
36,4488,detect
36,161,aware
36,161,evidence
36,161,detect
36,9027,aware
36,9027,evidence
36,9027,detect
36,5074,aware
36,5074,evidence
36,5074,detect
36,1696,aware
36,1696,evidence
36,1696,detect
36,11046,aware
36,11046,evidence
36,11046,detect
36,4979,aware
36,4979,evidence
36,4979,detect
36,5366,aware
36,5366,evidence
36,5366,detect
36,8548,aware
36,8548,evidence
36,8548,detect
36,1576,aware
36,1576,evidence
36,1576,detect
36,4422,aware
36,4422,evidence
36,4422,detect
36,3765,aware
36,3765,evidence
36,3765,detect
36,8553,aware
36,8553,evidence
36,8553,detect
36,4904,aware
36,4904,evidence
36,4904,detect
36,9144,aware
36,9144,evidence
36,9144,detect
36,8087,aware
36,8087,evidence
36,8087,detect
36,7730,aware
36,7730,evidence
36,7730,detect
36,8464,aware
36,8464,evidence
36,8464,detect
36,8838,aware
36,8838,evidence
36,8838,detect
36,5788,aware
36,5788,evidence
36,5788,detect
36,9848,aware
36,9848,evidence
36,9848,detect
36,10052,aware
36,10052,evidence
36,10052,detect
36,6254,aware
36,6254,evidence
36,6254,detect
36,4463,aware
36,4463,evidence
36,4463,detect
36,5369,aware
36,5369,evidence
36,5369,detect
36,7658,aware
36,7658,evidence
36,7658,detect
36,9849,aware
36,9849,evidence
36,9849,detect
36,3599,aware
36,3599,evidence
36,3599,detect
36,55,aware
36,55,evidence
36,55,detect
36,2643,aware
36,2643,evidence
36,2643,detect
36,10639,aware
36,10639,evidence
36,10639,detect
36,3463,aware
36,3463,evidence
36,3463,detect
36,2949,aware
36,2949,evidence
36,2949,detect
36,6203,aware
36,6203,evidence
36,6203,detect
36,3372,aware
36,3372,evidence
36,3372,detect
36,718,aware
36,718,evidence
36,718,detect
36,10919,aware
36,10919,evidence
36,10919,detect
36,6758,aware
36,6758,evidence
36,6758,detect
36,6832,aware
36,6832,evidence
36,6832,detect
36,10794,aware
36,10794,evidence
36,10794,detect
36,2908,aware
36,2908,evidence
36,2908,detect
36,11654,aware
36,11654,evidence
36,11654,detect
36,3589,aware
36,3589,evidence
36,3589,detect
36,8035,aware
36,8035,evidence
36,8035,detect
36,11060,aware
36,11060,evidence
36,11060,detect
36,9020,aware
36,9020,evidence
36,9020,detect
36,6032,aware
36,6032,evidence
36,6032,detect
36,2920,aware
36,2920,evidence
36,2920,detect
36,11742,aware
36,11742,evidence
36,11742,detect
36,10857,aware
36,10857,evidence
36,10857,detect
36,1164,aware
36,1164,evidence
36,1164,detect
36,7919,aware
36,7919,evidence
36,7919,detect
36,7234,aware
36,7234,evidence
36,7234,detect
36,4891,aware
36,4891,evidence
36,4891,detect
36,4153,aware
36,4153,evidence
36,4153,detect
36,4958,aware
36,4958,evidence
36,4958,detect
36,10415,aware
36,10415,evidence
36,10415,detect
36,8998,aware
36,8998,evidence
36,8998,detect
36,1866,aware
36,1866,evidence
36,1866,detect
36,3355,aware
36,3355,evidence
36,3355,detect
36,9581,aware
36,9581,evidence
36,9581,detect
36,11806,aware
36,11806,evidence
36,11806,detect
36,1721,aware
36,1721,evidence
36,1721,detect
36,151,aware
36,151,evidence
36,151,detect
36,9324,aware
36,9324,evidence
36,9324,detect
36,5843,aware
36,5843,evidence
36,5843,detect
36,9927,aware
36,9927,evidence
36,9927,detect
36,252,aware
36,252,evidence
36,252,detect
36,3649,aware
36,3649,evidence
36,3649,detect
36,6995,aware
36,6995,evidence
36,6995,detect
36,1786,aware
36,1786,evidence
36,1786,detect
36,9866,aware
36,9866,evidence
36,9866,detect
36,9652,aware
36,9652,evidence
36,9652,detect
36,6100,aware
36,6100,evidence
36,6100,detect
36,1288,aware
36,1288,evidence
36,1288,detect
36,941,aware
36,941,evidence
36,941,detect
36,9977,aware
36,9977,evidence
36,9977,detect
36,7285,aware
36,7285,evidence
36,7285,detect
36,1541,aware
36,1541,evidence
36,1541,detect
36,10346,aware
36,10346,evidence
36,10346,detect
36,11274,aware
36,11274,evidence
36,11274,detect
36,578,aware
36,578,evidence
36,578,detect
36,6813,aware
36,6813,evidence
36,6813,detect
36,5847,aware
36,5847,evidence
36,5847,detect
36,3011,aware
36,3011,evidence
36,3011,detect
36,11074,aware
36,11074,evidence
36,11074,detect
36,1599,aware
36,1599,evidence
36,1599,detect
36,9176,aware
36,9176,evidence
36,9176,detect
36,4128,aware
36,4128,evidence
36,4128,detect
36,4617,aware
36,4617,evidence
36,4617,detect
36,9006,aware
36,9006,evidence
36,9006,detect
36,11353,aware
36,11353,evidence
36,11353,detect
36,7294,aware
36,7294,evidence
36,7294,detect
36,1536,aware
36,1536,evidence
36,1536,detect
36,3101,aware
36,3101,evidence
36,3101,detect
36,7523,aware
36,7523,evidence
36,7523,detect
36,5518,aware
36,5518,evidence
36,5518,detect
36,7341,aware
36,7341,evidence
36,7341,detect
36,2077,aware
36,2077,evidence
36,2077,detect
36,10258,aware
36,10258,evidence
36,10258,detect
37,1031,aware
37,1031,evidence
37,1031,detect
37,5327,aware
37,5327,evidence
37,5327,detect
37,5857,aware
37,5857,evidence
37,5857,detect
37,1635,aware
37,1635,evidence
37,1635,detect
37,4263,aware
37,4263,evidence
37,4263,detect
37,10862,aware
37,10862,evidence
37,10862,detect
37,9623,aware
37,9623,evidence
37,9623,detect
37,2415,aware
37,2415,evidence
37,2415,detect
37,9055,aware
37,9055,evidence
37,9055,detect
37,9946,aware
37,9946,evidence
37,9946,detect
37,5955,aware
37,5955,evidence
37,5955,detect
37,3111,aware
37,3111,evidence
37,3111,detect
37,7206,aware
37,7206,evidence
37,7206,detect
37,5942,aware
37,5942,evidence
37,5942,detect
37,2897,aware
37,2897,evidence
37,2897,detect
37,3872,aware
37,3872,evidence
37,3872,detect
37,3828,aware
37,3828,evidence
37,3828,detect
37,8768,aware
37,8768,evidence
37,8768,detect
37,10544,aware
37,10544,evidence
37,10544,detect
37,2104,aware
37,2104,evidence
37,2104,detect
37,2818,aware
37,2818,evidence
37,2818,detect
37,6424,aware
37,6424,evidence
37,6424,detect
37,2684,aware
37,2684,evidence
37,2684,detect
37,4466,aware
37,4466,evidence
37,4466,detect
37,8949,aware
37,8949,evidence
37,8949,detect
37,4180,aware
37,4180,evidence
37,4180,detect
37,7155,aware
37,7155,evidence
37,7155,detect
37,11241,aware
37,11241,evidence
37,11241,detect
37,2512,aware
37,2512,evidence
37,2512,detect
37,10906,aware
37,10906,evidence
37,10906,detect
37,4844,aware
37,4844,evidence
37,4844,detect
37,3958,aware
37,3958,evidence
37,3958,detect
37,9887,aware
37,9887,evidence
37,9887,detect
37,4890,aware
37,4890,evidence
37,4890,detect
37,4198,aware
37,4198,evidence
37,4198,detect
37,8589,aware
37,8589,evidence
37,8589,detect
37,9441,aware
37,9441,evidence
37,9441,detect
37,5426,aware
37,5426,evidence
37,5426,detect
37,11728,aware
37,11728,evidence
37,11728,detect
37,1569,aware
37,1569,evidence
37,1569,detect
37,5296,aware
37,5296,evidence
37,5296,detect
37,2542,aware
37,2542,evidence
37,2542,detect
37,11844,aware
37,11844,evidence
37,11844,detect
37,5331,aware
37,5331,evidence
37,5331,detect
37,7948,aware
37,7948,evidence
37,7948,detect
37,8056,aware
37,8056,evidence
37,8056,detect
38,355,aware
38,355,evidence
38,355,detect
38,10721,aware
38,10721,evidence
38,10721,detect
38,7847,aware
38,7847,evidence
38,7847,detect
38,2539,aware
38,2539,evidence
38,2539,detect
38,7718,aware
38,7718,evidence
38,7718,detect
38,7874,aware
38,7874,evidence
38,7874,detect
38,1763,aware
38,1763,evidence
38,1763,detect
38,3155,aware
38,3155,evidence
38,3155,detect
38,6947,aware
