tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,270592,0,0,0,0,0,0,18031
1,0,0,0,1258880,0,0,0,0,0,0,18245
2,0,0,0,811776,0,0,0,0,0,0,18448
3,0,0,0,1006208,0,0,0,0,0,0,15277
4,0,0,0,907648,0,0,0,0,0,0,17529
5,0,0,0,803712,0,0,0,0,0,0,16517
6,0,0,0,1061760,0,0,0,0,0,0,15903
7,0,0,0,619136,0,0,0,0,0,0,15723
8,0,0,0,702464,0,0,0,0,0,0,12201
9,0,0,0,953344,0,0,0,0,0,0,15337
10,0,0,0,249088,0,0,0,0,0,0,14774
11,0,0,0,509824,0,0,0,0,0,0,13853
12,0,0,0,936320,0,0,0,0,0,0,11757
13,0,0,0,439936,0,0,0,0,0,0,13467
14,0,0,0,1073408,0,0,0,0,0,0,13764
15,0,0,0,1066240,0,0,0,0,0,0,12361
16,0,0,0,632576,0,0,0,0,0,0,12560
17,0,0,0,655872,0,0,0,0,0,0,13297
18,0,0,0,434560,0,0,0,0,0,0,11679
19,0,0,0,718592,0,0,0,0,0,0,13831
20,0,0,0,787584,0,0,0,0,0,0,13379
21,0,0,0,439936,0,0,0,0,0,0,11594
22,0,0,0,514304,0,0,0,0,0,0,10207
23,0,0,0,802816,0,0,0,0,0,0,12437
24,0,0,0,263424,0,0,0,0,0,0,10848
25,0,0,0,361984,0,0,0,0,0,0,10188
26,0,0,0,981120,0,0,0,0,0,0,11794
27,0,0,0,359296,0,0,0,0,0,0,10888
28,0,0,0,654080,0,0,0,0,0,0,13201
29,0,0,0,956928,0,0,0,0,0,0,10157
30,0,0,0,631680,0,0,0,0,0,0,11482
31,0,0,0,1292928,0,0,0,0,0,0,13325
32,0,0,0,536704,0,0,0,0,0,0,12377
33,0,0,0,630784,0,0,0,0,0,0,12540
34,0,0,0,448896,0,0,0,0,0,0,11553
35,0,0,0,698880,0,0,0,0,0,0,12361
36,36,36,36,567168,0,37,0,0,37,0,12605
37,147,147,147,755328,0,113,0,0,113,0,14011
38,173,173,173,744576,0,32,0,0,32,0,13237
39,219,219,219,1131648,0,67,0,0,67,0,13883
40,258,258,258,1071616,0,65,0,0,65,0,14936
41,272,272,272,610176,0,34,0,0,34,0,12956
42,298,298,298,874496,0,40,0,0,40,0,12817
43,311,311,311,620032,0,25,0,0,25,0,13210
44,403,403,403,528640,0,106,0,0,106,0,16004
45,506,506,506,928256,0,131,0,0,131,0,16152
46,544,544,544,1255296,0,141,0,0,141,0,16212
47,554,554,554,708736,0,26,0,0,26,0,14646
48,564,564,564,437248,0,23,0,0,23,0,16280
49,579,579,579,611072,0,26,0,0,26,0,17413
50,590,590,590,622720,0,35,0,0,35,0,18023
51,702,702,702,1135232,0,150,0,0,150,0,17177
52,713,713,713,1001728,0,59,0,0,59,0,20026
53,724,724,724,414848,0,25,0,0,25,0,17188
54,735,735,735,1175552,0,53,0,0,53,0,21876
55,847,847,847,1008896,0,140,0,0,140,0,22109
56,857,857,857,962304,0,48,0,0,48,0,21932
57,983,983,983,1632512,0,190,0,0,190,0,19584
58,1005,1005,1005,1503488,0,92,0,0,92,0,23408
59,1014,1014,1014,796544,0,47,0,0,47,0,22448
60,1028,1028,1028,1827840,0,101,0,0,101,0,25484
61,1142,1142,1142,1431808,0,175,0,0,175,0,24171
62,1149,1149,1149,1337728,0,70,0,0,70,0,23652
63,1233,1233,1233,1281280,0,148,0,0,148,0,23283
64,1326,1326,1326,1046528,0,142,0,0,142,0,25680
65,1335,1335,1335,1742720,0,97,0,0,97,0,27265
66,1433,1433,1433,1462272,0,168,0,0,168,0,29015
67,1603,1603,1603,1480192,0,242,0,0,242,0,30601
68,1707,1707,1707,1920128,0,234,0,0,234,0,29198
69,1775,1775,1775,1678208,0,165,0,0,165,0,27311
70,1860,1860,1860,1907584,0,191,0,0,191,0,28751
71,1861,1861,1861,1143296,0,61,0,0,61,0,28519
