structure,p_drop_crosscut,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,reps
1:1 only,0.0,0.5,85.0,60.0,113.75,0.7641321276759702,12
1:1 only,0.25,0.4166666666666667,95.0,80.0,120.0,0.7565820798227801,12
1:1 only,0.5,0.4166666666666667,95.0,80.0,120.0,0.7540741305191839,12
1:1 only,0.75,0.25,120.0,102.5,130.0,0.7363725538167758,12
1:1 only,0.9,0.08333333333333333,85.0,85.0,85.0,0.731291655880717,12
1:1 only,1.0,0.0,,,,0.7263133802753786,12
Groups within-cut,0.0,1.0,62.5,37.5,106.25,0.6816721742270687,12
Groups within-cut,0.25,1.0,82.5,37.5,131.25,0.6715267347114526,12
Groups within-cut,0.5,0.9166666666666666,110.0,35.0,137.5,0.661084659310011,12
Groups within-cut,0.75,0.75,105.0,65.0,130.0,0.6528993829327828,12
Groups within-cut,0.9,0.5833333333333334,110.0,85.0,140.0,0.6462752993787054,12
Groups within-cut,1.0,0.0,,,,0.6408811013002061,12
Groups cross-cut,0.0,1.0,90.0,28.75,105.0,0.6280618019143298,12
Groups cross-cut,0.25,0.8333333333333334,75.0,37.5,102.5,0.6198275133360424,12
Groups cross-cut,0.5,0.75,55.0,35.0,95.0,0.6147182643886997,12
Groups cross-cut,0.75,0.6666666666666666,95.0,75.0,121.25,0.6076603020319382,12
Groups cross-cut,0.9,0.3333333333333333,105.0,72.5,133.75,0.6017759616272674,12
Groups cross-cut,1.0,0.0,,,,0.5990417941410565,12
