tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,896,0,0,0,0,0,0,417,12000
1,0,0,0,896,0,0,0,0,0,0,419,12000
2,0,0,0,0,0,0,0,0,0,0,392,12000
3,0,0,0,0,0,0,0,0,0,0,385,12000
4,0,0,0,0,0,0,0,0,0,0,370,12000
5,0,0,0,0,0,0,0,0,0,0,386,12000
6,0,0,0,0,0,0,0,0,0,0,379,12000
7,0,0,0,0,0,0,0,0,0,0,378,12000
8,0,0,0,0,0,0,0,0,0,0,409,12000
9,0,0,0,896,0,0,0,0,0,0,343,12000
10,0,0,0,0,0,0,0,0,0,0,336,12000
11,0,0,0,0,0,0,0,0,0,0,375,12000
12,0,0,0,0,0,0,0,0,0,0,336,0
13,0,0,0,0,0,0,0,0,0,0,300,0
14,0,0,0,0,0,0,0,0,0,0,318,0
15,0,0,0,0,0,0,0,0,0,0,326,0
16,0,0,0,896,0,0,0,0,0,0,333,2
17,0,0,0,896,0,0,0,0,0,0,314,4
18,0,0,0,896,0,0,0,0,0,0,302,6
19,0,0,0,0,0,0,0,0,0,0,299,6
20,0,0,0,0,0,0,0,0,0,0,294,6
21,0,0,0,0,0,0,0,0,0,0,281,6
22,0,0,0,1792,0,0,0,0,0,0,323,10
23,0,0,0,0,0,0,0,0,0,0,315,10
24,0,0,0,0,0,0,0,0,0,0,317,0
25,0,0,0,0,0,0,0,0,0,0,310,0
26,0,0,0,0,0,0,0,0,0,0,302,0
27,0,0,0,0,0,0,0,0,0,0,310,0
28,0,0,0,0,0,0,0,0,0,0,338,0
29,0,0,0,0,0,0,0,0,0,0,318,0
30,0,0,0,0,0,0,0,0,0,0,314,0
31,0,0,0,0,0,0,0,0,0,0,322,0
32,0,0,0,896,0,0,0,0,0,0,300,2
33,0,0,0,896,0,0,0,0,0,0,306,4
34,0,0,0,0,0,0,0,0,0,0,293,4
35,0,0,0,0,0,0,0,0,0,0,326,4
36,0,0,0,896,0,0,0,0,0,0,330,2
37,0,0,0,0,0,0,0,0,0,0,348,2
38,0,0,0,0,0,0,0,0,0,0,374,2
39,0,0,0,0,0,0,0,0,0,0,344,2
40,0,0,0,896,0,0,0,0,0,0,369,4
41,0,0,0,896,0,0,0,0,0,0,353,6
42,0,0,0,896,0,0,0,0,0,0,381,7
43,0,0,0,0,0,0,0,0,0,0,377,7
44,0,0,0,0,0,0,0,0,0,0,381,7
45,0,0,0,0,0,0,0,0,0,0,391,7
46,0,0,0,896,0,0,0,0,0,0,419,9
47,0,0,0,0,0,0,0,0,0,0,409,9
48,0,0,0,0,0,0,0,0,0,0,412,0
49,0,0,0,896,0,0,0,0,0,0,423,2
50,0,0,0,0,0,0,0,0,0,0,421,2
51,0,0,0,0,0,0,0,0,0,0,458,2
52,0,0,0,0,0,0,0,0,0,0,452,2
53,0,0,0,896,0,0,0,0,0,0,472,4
54,0,0,0,896,0,0,0,0,0,0,498,6
55,0,0,0,0,0,0,0,0,0,0,473,6
56,0,0,0,0,0,0,0,0,0,0,494,6
57,0,0,0,0,0,0,0,0,0,0,513,6
58,0,0,0,896,0,0,0,0,0,0,505,8
59,0,0,0,0,0,0,0,0,0,0,553,8
60,0,0,0,896,0,0,0,0,0,0,630,2
61,0,0,0,0,0,0,0,0,0,0,587,2
62,0,0,0,0,0,0,0,0,0,0,597,2
63,0,0,0,0,0,0,0,0,0,0,615,2
64,0,0,0,896,0,0,0,0,0,0,604,4
65,0,0,0,0,0,0,0,0,0,0,648,4
66,0,0,0,0,0,0,0,0,0,0,657,4
67,0,0,0,0,0,0,0,0,0,0,648,4
68,0,0,0,1792,0,0,0,0,0,0,736,8
69,0,0,0,0,0,0,0,0,0,0,711,8
70,0,0,0,0,0,0,0,0,0,0,718,8
71,0,0,0,0,0,0,0,0,0,0,768,8
