tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,2485,12000
1,0,0,0,12544,0,0,0,0,0,0,2534,12000
2,0,0,0,0,0,0,0,0,0,0,2655,12000
3,0,0,0,0,0,0,0,0,0,0,2368,12000
4,0,0,0,8064,0,0,0,0,0,0,2471,12000
5,0,0,0,0,0,0,0,0,0,0,2308,12000
6,0,0,0,0,0,0,0,0,0,0,2165,12000
7,0,0,0,6272,0,0,0,0,0,0,2177,12000
8,0,0,0,0,0,0,0,0,0,0,2213,12000
9,0,0,0,0,0,0,0,0,0,0,2095,12000
10,0,0,0,7168,0,0,0,0,0,0,2139,12000
11,0,0,0,0,0,0,0,0,0,0,2036,12000
12,0,0,0,0,0,0,0,0,0,0,2123,0
13,0,0,0,0,0,0,0,0,0,0,1872,0
14,0,0,0,0,0,0,0,0,0,0,1824,0
15,0,0,0,0,0,0,0,0,0,0,1922,0
16,0,0,0,0,0,0,0,0,0,0,1866,0
17,0,0,0,0,0,0,0,0,0,0,1806,0
18,0,0,0,0,0,0,0,0,0,0,2007,0
19,0,0,0,0,0,0,0,0,0,0,1959,0
20,0,0,0,896,0,0,0,0,0,0,1967,2
21,0,0,0,0,0,0,0,0,0,0,1866,2
22,0,0,0,0,0,0,0,0,0,0,1859,2
23,0,0,0,0,0,0,0,0,0,0,1804,2
24,0,0,0,0,0,0,0,0,0,0,1886,0
25,0,0,0,0,0,0,0,0,0,0,1667,0
26,0,0,0,0,0,0,0,0,0,0,1936,0
27,0,0,0,0,0,0,0,0,0,0,1812,0
28,0,0,0,0,0,0,0,0,0,0,1947,0
29,0,0,0,896,0,0,0,0,0,0,1818,2
30,0,0,0,0,0,0,0,0,0,0,1993,2
31,0,0,0,0,0,0,0,0,0,0,1944,2
32,0,0,0,0,0,0,0,0,0,0,2026,2
33,0,0,0,896,0,0,0,0,0,0,2018,4
34,0,0,0,1792,0,0,0,0,0,0,1989,8
35,0,0,0,0,0,0,0,0,0,0,1878,8
36,0,0,0,0,0,0,0,0,0,0,2028,0
37,0,0,0,5376,0,0,0,0,0,0,1950,6
38,0,0,0,8960,0,0,0,0,0,0,2156,16
39,0,0,0,0,0,0,0,0,0,0,2230,16
40,0,0,0,0,0,0,0,0,0,0,1965,16
41,0,0,0,0,0,0,0,0,0,0,2187,16
42,0,0,0,0,0,0,0,0,0,0,2174,16
43,0,0,0,0,0,0,0,0,0,0,2249,16
44,0,0,0,8064,0,0,0,0,3,3,2707,25
45,0,0,0,8064,0,0,0,0,1,1,2349,34
46,0,0,0,0,0,0,0,0,0,0,2851,34
47,0,0,0,0,0,0,0,0,0,0,2595,34
48,0,0,0,0,0,0,0,0,0,0,2561,0
49,0,0,0,5376,0,0,0,0,0,0,2669,6
50,0,0,0,0,0,0,0,0,0,0,2892,6
51,0,0,0,8064,0,0,0,0,2,2,2917,15
52,0,0,0,11648,0,0,0,0,0,0,2846,28
53,0,0,0,896,0,0,0,0,0,0,3101,30
54,0,0,0,10752,0,0,0,0,1,1,3065,42
55,0,0,0,0,0,0,0,0,0,0,3217,42
56,0,0,0,0,0,0,0,0,0,0,3249,42
57,0,0,0,9856,0,0,0,0,0,0,3653,53
58,0,0,0,0,0,0,0,0,0,0,3551,53
59,0,0,0,18816,0,0,0,0,0,0,3862,74
60,0,0,0,0,0,0,0,0,0,0,3720,0
61,0,0,0,0,0,0,0,0,0,0,3709,0
62,0,0,0,12544,0,0,0,0,0,0,3908,14
63,0,0,0,0,0,0,0,0,0,0,3855,14
64,0,0,0,8960,0,0,0,0,1,1,4028,24
65,0,0,0,0,0,0,0,0,0,0,4195,24
66,0,0,0,0,0,0,0,0,0,0,4324,24
67,0,0,0,0,0,0,0,0,0,0,4729,24
68,0,0,0,0,0,0,0,0,0,0,4456,24
69,1,1,1,8960,0,1,0,0,12,11,4783,33
70,1,1,1,6272,0,0,0,0,1,1,4983,40
71,1,1,1,896,0,0,0,0,0,0,5034,42
