tick,user,event
38,1723,aware
38,1723,evidence
38,1723,detect
47,2376,aware
47,2376,evidence
47,2376,detect
51,3362,aware
51,3362,evidence
51,3362,detect
51,864,aware
51,864,evidence
51,864,detect
60,8690,aware
60,8690,evidence
60,8690,detect
60,7504,aware
60,7504,evidence
60,7504,detect
61,3630,aware
61,3630,evidence
61,3630,detect
61,9168,aware
61,9168,evidence
61,9168,detect
62,5928,aware
62,5928,evidence
62,5928,detect
66,8983,aware
66,8983,evidence
66,8983,detect
66,8668,aware
66,8668,evidence
66,8668,detect
