tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,2617,12000
1,0,0,0,0,0,0,0,0,0,0,2701,12000
2,0,0,0,11648,0,0,0,0,0,0,2339,12000
3,0,0,0,0,0,0,0,0,0,0,2372,12000
4,0,0,0,0,0,0,0,0,0,0,2228,12000
5,0,0,0,0,0,0,0,0,0,0,2337,12000
6,0,0,0,0,0,0,0,0,0,0,2219,12000
7,0,0,0,0,0,0,0,0,0,0,2564,12000
8,0,0,0,0,0,0,0,0,0,0,2418,12000
9,0,0,0,896,0,0,0,0,0,0,2087,12000
10,0,0,0,0,0,0,0,0,0,0,2227,12000
11,0,0,0,0,0,0,0,0,0,0,2327,12000
12,0,0,0,0,0,0,0,0,0,0,2018,0
13,0,0,0,896,0,0,0,0,0,0,2009,2
14,0,0,0,0,0,0,0,0,0,0,2042,2
15,0,0,0,0,0,0,0,0,0,0,2063,2
16,0,0,0,0,0,0,0,0,0,0,1716,2
17,0,0,0,0,0,0,0,0,0,0,1982,2
18,0,0,0,8064,0,0,0,0,0,0,2037,11
19,0,0,0,0,0,0,0,0,0,0,1975,11
20,0,0,0,5376,0,0,0,0,0,0,1857,17
21,0,0,0,0,0,0,0,0,0,0,1969,17
22,0,0,0,0,0,0,0,0,0,0,2122,17
23,0,0,0,0,0,0,0,0,0,0,1890,17
24,0,0,0,0,0,0,0,0,0,0,1884,0
25,0,0,0,8960,0,0,0,0,0,0,2008,10
26,0,0,0,0,0,0,0,0,0,0,1949,10
27,0,0,0,0,0,0,0,0,0,0,1910,10
28,0,0,0,0,0,0,0,0,0,0,1791,10
29,0,0,0,8064,0,0,0,0,0,0,1918,19
30,0,0,0,8064,0,0,0,0,0,0,1932,28
31,0,0,0,0,0,0,0,0,0,0,1901,28
32,0,0,0,9856,0,0,0,0,0,0,2189,39
33,0,0,0,0,0,0,0,0,0,0,1900,39
34,0,0,0,0,0,0,0,0,0,0,2020,39
35,0,0,0,0,0,0,0,0,0,0,2031,39
36,0,0,0,0,0,0,0,0,0,0,2043,0
37,0,0,0,0,0,0,0,0,0,0,2201,0
38,0,0,0,0,0,0,0,0,0,0,2164,0
39,0,0,0,0,0,0,0,0,0,0,2262,0
40,0,0,0,0,0,0,0,0,0,0,2241,0
41,0,0,0,0,0,0,0,0,0,0,2273,0
42,0,0,0,0,0,0,0,0,0,0,2323,0
43,0,0,0,0,0,0,0,0,0,0,2560,0
44,0,0,0,5376,0,0,0,0,0,0,2612,6
45,0,0,0,0,0,0,0,0,0,0,2297,6
46,0,0,0,0,0,0,0,0,0,0,2357,6
47,0,0,0,0,0,0,0,0,0,0,2535,6
48,0,0,0,0,0,0,0,0,0,0,2605,0
49,0,0,0,4480,0,0,0,0,0,0,2727,5
50,0,0,0,0,0,0,0,0,0,0,2810,5
51,0,0,0,0,0,0,0,0,0,0,2747,5
52,0,0,0,0,0,0,0,0,0,0,2948,5
53,0,0,0,0,0,0,0,0,0,0,2841,5
54,0,0,0,896,0,0,0,0,0,0,3101,7
55,0,0,0,0,0,0,0,0,0,0,3144,7
56,0,0,0,0,0,0,0,0,0,0,3084,7
57,0,0,0,0,0,0,0,0,0,0,3221,7
58,0,0,0,0,0,0,0,0,0,0,3236,7
59,0,0,0,0,0,0,0,0,0,0,3338,7
60,0,0,0,0,0,0,0,0,0,0,3529,0
61,0,0,0,0,0,0,0,0,0,0,3712,0
62,0,0,0,0,0,0,0,0,0,0,4177,0
63,0,0,0,0,0,0,0,0,0,0,3737,0
64,0,0,0,896,0,0,0,0,0,0,3916,2
65,0,0,0,0,0,0,0,0,0,0,4084,2
66,0,0,0,0,0,0,0,0,0,0,4520,2
67,0,0,0,0,0,0,0,0,0,0,4442,2
68,0,0,0,7168,0,0,0,0,0,0,4561,10
69,0,0,0,0,0,0,0,0,0,0,4729,10
70,0,0,0,896,0,0,0,0,0,0,4784,12
71,0,0,0,6272,0,0,0,0,1,1,4934,19
