tick,user,event
49,6509,aware
49,6509,evidence
49,6509,detect
50,5458,aware
50,5458,evidence
50,5458,detect
54,7857,aware
54,7857,evidence
54,7857,detect
66,376,aware
66,376,evidence
66,376,detect
66,10223,aware
66,10223,evidence
66,10223,detect
66,3996,aware
66,3996,evidence
66,3996,detect
66,2705,aware
66,2705,evidence
66,2705,detect
66,4943,aware
66,4943,evidence
66,4943,detect
66,9947,aware
66,9947,evidence
66,9947,detect
66,8297,aware
66,8297,evidence
66,8297,detect
66,5134,aware
66,5134,evidence
66,5134,detect
