tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,776,12000
1,0,0,0,256,0,0,0,0,0,0,867,12000
2,0,0,0,0,0,0,0,0,0,0,839,12000
3,0,0,0,0,0,0,0,0,0,0,878,12000
4,0,0,0,128,0,0,0,0,0,0,833,12000
5,0,0,0,256,0,0,0,0,0,0,765,12000
6,0,0,0,384,0,0,0,0,0,0,792,12000
7,0,0,0,0,0,0,0,0,0,0,574,12000
8,0,0,0,128,0,0,0,0,0,0,732,12000
9,0,0,0,0,0,0,0,0,0,0,691,12000
10,0,0,0,128,0,0,0,0,0,0,719,12000
11,0,0,0,128,0,0,0,0,0,0,566,12000
12,0,0,0,128,0,0,0,0,0,0,806,2
13,0,0,0,128,0,0,0,0,0,0,660,4
14,0,0,0,2304,0,0,0,0,0,0,532,25
15,0,0,0,128,0,0,0,0,0,0,608,27
16,0,0,0,256,0,0,0,0,0,0,548,31
17,0,0,0,128,0,0,0,0,0,0,688,32
18,0,0,0,128,0,0,0,0,0,0,696,34
19,0,0,0,256,0,0,0,0,0,0,631,37
20,0,0,0,0,0,0,0,0,0,0,718,37
21,0,0,0,128,0,0,0,0,0,0,534,39
22,0,0,0,0,0,0,0,0,0,0,524,39
23,0,0,0,1664,0,0,0,0,0,0,638,52
24,0,0,0,128,0,0,0,0,0,0,706,2
25,0,0,0,128,0,0,0,0,0,0,610,4
26,0,0,0,0,0,0,0,0,0,0,544,4
27,0,0,0,0,0,0,0,0,0,0,469,4
28,0,0,0,256,0,0,0,0,0,0,532,8
29,0,0,0,0,0,0,0,0,0,0,621,8
30,0,0,0,1664,0,0,0,0,0,0,656,22
31,0,0,0,256,0,0,0,0,0,0,480,26
32,0,0,0,128,0,0,0,0,0,0,686,28
33,0,0,0,384,0,0,0,0,0,0,627,34
34,0,0,0,128,0,0,0,0,0,0,595,36
35,0,0,0,256,0,0,0,0,0,0,580,40
