tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,1013,12000
1,0,0,0,2688,0,0,0,0,0,0,926,12000
2,0,0,0,896,0,0,0,0,0,0,825,12000
3,0,0,0,2688,0,0,0,0,0,0,901,12000
4,0,0,0,0,0,0,0,0,0,0,766,12000
5,0,0,0,896,0,0,0,0,0,0,934,12000
6,0,0,0,2688,0,0,0,0,0,0,904,12000
7,0,0,0,0,0,0,0,0,0,0,858,12000
8,0,0,0,896,0,0,0,0,0,0,708,12000
9,0,0,0,1792,0,0,0,0,0,0,687,12000
10,0,0,0,896,0,0,0,0,0,0,712,12000
11,0,0,0,896,0,0,0,0,0,0,700,12000
12,0,0,0,6272,0,0,0,0,0,0,761,9
13,0,0,0,896,0,0,0,0,0,0,605,11
14,0,0,0,1792,0,0,0,0,0,0,610,15
15,0,0,0,0,0,0,0,0,0,0,556,15
16,0,0,0,896,0,0,0,0,0,0,629,17
17,0,0,0,7168,0,0,0,0,0,0,656,27
18,0,0,0,896,0,0,0,0,0,0,612,28
19,0,0,0,0,0,0,0,0,0,0,609,28
20,0,0,0,896,0,0,0,0,0,0,747,30
21,0,0,0,896,0,0,0,0,0,0,698,32
22,0,0,0,896,0,0,0,0,0,0,620,34
23,0,0,0,1792,0,0,0,0,0,0,581,38
24,0,0,0,1792,0,0,0,0,0,0,590,4
25,0,0,0,896,0,0,0,0,0,0,604,6
26,0,0,0,2688,0,0,0,0,0,0,676,12
27,0,0,0,0,0,0,0,0,0,0,551,12
28,0,0,0,1792,0,0,0,0,0,0,599,16
29,0,0,0,0,0,0,0,0,0,0,640,16
30,0,0,0,896,0,0,0,0,0,0,591,18
31,0,0,0,8064,0,0,0,0,0,0,588,28
32,0,0,0,0,0,0,0,0,0,0,644,28
33,0,0,0,10752,0,0,0,0,0,0,753,42
34,0,0,0,0,0,0,0,0,0,0,651,42
35,0,0,0,1792,0,0,0,0,0,0,705,46
