mode,p_gossip,adoption,t_since_release_min,aware_new_frac_mean,aware_new_frac_q25,aware_new_frac_q75,cum_msgs_mean,cum_gossip_bytes_mean,reps
sth_only,0.005,0.2,0.0,0.0,0.0,0.0,740.625,128.0,8
sth_only,0.005,0.2,5.0,0.0,0.0,0.0,1416.75,272.0,8
sth_only,0.005,0.2,10.0,0.0,0.0,0.0,2057.5,832.0,8
sth_only,0.005,0.2,15.0,0.0,0.0,0.0,2711.625,848.0,8
sth_only,0.005,0.2,20.0,0.0,0.0,0.0,3356.5,880.0,8
sth_only,0.005,0.2,25.0,0.0,0.0,0.0,4026.5,1024.0,8
sth_only,0.005,0.2,30.0,0.0,0.0,0.0,4672.75,1072.0,8
sth_only,0.005,0.2,35.0,0.0,0.0,0.0,5342.375,1152.0,8
sth_only,0.005,0.2,40.0,0.0,0.0,0.0,6042.0,1312.0,8
sth_only,0.005,0.2,45.0,0.0,0.0,0.0,6685.875,1312.0,8
sth_only,0.005,0.2,50.0,0.0,0.0,0.0,7306.5,1328.0,8
sth_only,0.005,0.2,55.0,0.0,0.0,0.0,7971.125,1344.0,8
sth_only,0.005,0.2,60.0,0.0,0.0,0.0,8632.625,1344.0,8
sth_only,0.005,0.2,65.0,0.0,0.0,0.0,9249.25,1344.0,8
sth_only,0.005,0.2,70.0,0.0,0.0,0.0,9855.0,1424.0,8
sth_only,0.005,0.2,75.0,0.0,0.0,0.0,10452.375,1680.0,8
sth_only,0.005,0.2,80.0,0.0,0.0,0.0,11078.625,1712.0,8
sth_only,0.005,0.2,85.0,0.0,0.0,0.0,11729.625,1712.0,8
sth_only,0.005,0.2,90.0,0.0,0.0,0.0,12393.875,1728.0,8
sth_only,0.005,0.2,95.0,0.0,0.0,0.0,13062.625,1904.0,8
sth_only,0.005,0.2,100.0,0.0,0.0,0.0,13750.375,1920.0,8
sth_only,0.005,0.2,105.0,0.0,0.0,0.0,14408.875,2320.0,8
sth_only,0.005,0.2,110.0,0.0,0.0,0.0,15088.75,2368.0,8
sth_only,0.005,0.2,115.0,0.0,0.0,0.0,15804.75,2672.0,8
sth_only,0.012,0.2,0.0,0.0,0.0,0.0,740.625,208.0,8
sth_only,0.012,0.2,5.0,0.0,0.0,0.0,1416.75,384.0,8
sth_only,0.012,0.2,10.0,0.0,0.0,0.0,2057.5,960.0,8
sth_only,0.012,0.2,15.0,0.0,0.0,0.0,2711.625,1040.0,8
sth_only,0.012,0.2,20.0,0.0,0.0,0.0,3356.5,1136.0,8
sth_only,0.012,0.2,25.0,0.0,0.0,0.0,4026.5,1312.0,8
sth_only,0.012,0.2,30.0,0.0,0.0,0.0,4672.75,1408.0,8
sth_only,0.012,0.2,35.0,0.0,0.0,0.0,5342.375,1520.0,8
sth_only,0.012,0.2,40.0,0.0,0.0,0.0,6042.0,1712.0,8
