run_dir,mode,p_gossip,adoption,t_since_release_min,aware_new_frac,cum_msgs_since_release,cum_gossip_bytes_since_release
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,0.0,0.0,809,128
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,5.0,0.0,1519,128
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,10.0,0.0,2114,256
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,15.0,0.0,2731,256
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,20.0,0.0,3318,256
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,25.0,0.0,4015,256
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,30.0,0.0,4718,256
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,35.0,0.0,5396,256
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,40.0,0.0,6084,256
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,45.0,0.0,6754,256
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,50.0,0.0,7435,384
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,55.0,0.0,8168,384
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,60.0,0.0,8782,384
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,65.0,0.0,9361,384
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,70.0,0.0,10002,384
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,75.0,0.0,10613,2304
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,80.0,0.0,11349,2432
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,85.0,0.0,11929,2432
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,90.0,0.0,12604,2432
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,95.0,0.0,13336,2432
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,100.0,0.0,13942,2432
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,105.0,0.0,14615,2432
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,110.0,0.0,15425,2560
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,115.0,0.0,16226,2560
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_awareness/honest_sth_only_n12000_pg0p005_a0p2_ff0_s58001_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,0.0,0.0,810,0
