tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,1664,0,0,0,0,0,0,947,12000
1,0,0,0,896,0,0,0,0,0,0,927,12000
2,0,0,0,0,0,0,0,0,0,0,855,12000
3,0,0,0,0,0,0,0,0,0,0,716,12000
4,0,0,0,0,0,0,0,0,0,0,923,12000
5,0,0,0,0,0,0,0,0,0,0,1004,12000
6,0,0,0,0,0,0,0,0,0,0,820,12000
7,0,0,0,0,0,0,0,0,0,0,872,12000
8,0,0,0,256,0,0,0,0,0,0,776,12000
9,0,0,0,128,0,0,0,0,0,0,796,12000
10,0,0,0,0,0,0,0,0,0,0,779,12000
11,0,0,0,0,0,0,0,0,0,0,697,12000
12,0,0,0,0,0,0,0,0,0,0,748,12000
13,0,0,0,0,0,0,0,0,0,0,803,12000
14,0,0,0,0,0,0,0,0,0,0,754,12000
15,0,0,0,128,0,0,0,0,0,0,630,12000
16,0,0,0,128,0,0,0,0,0,0,701,12000
17,0,0,0,128,0,0,0,0,0,0,563,12000
18,0,0,0,128,0,0,0,0,0,0,721,12000
19,0,0,0,256,0,0,0,0,0,0,624,12000
20,0,0,0,0,0,0,0,0,0,0,729,12000
21,0,0,0,0,0,0,0,0,0,0,666,12000
22,0,0,0,0,0,0,0,0,0,0,689,12000
23,0,0,0,128,0,0,0,0,0,0,656,12000
