tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,859,12000
1,0,0,0,896,0,0,0,0,0,0,940,12000
2,0,0,0,0,0,0,0,0,0,0,771,12000
3,0,0,0,0,0,0,0,0,0,0,874,12000
4,0,0,0,10752,0,0,0,0,0,0,899,12000
5,0,0,0,0,0,0,0,0,0,0,691,12000
6,0,0,0,8064,0,0,0,0,0,0,735,12000
7,0,0,0,7168,0,0,0,0,0,0,727,12000
8,0,0,0,9856,0,0,0,0,0,0,818,12000
9,0,0,0,896,0,0,0,0,0,0,792,12000
10,0,0,0,896,0,0,0,0,0,0,728,12000
11,0,0,0,896,0,0,0,0,0,0,753,12000
12,0,0,0,0,0,0,0,0,0,0,833,12000
13,0,0,0,0,0,0,0,0,0,0,744,12000
14,0,0,0,0,0,0,0,0,0,0,745,12000
15,0,0,0,0,0,0,0,0,0,0,678,12000
16,0,0,0,0,0,0,0,0,0,0,651,12000
17,0,0,0,8960,0,0,0,0,0,0,830,12000
18,0,0,0,896,0,0,0,0,0,0,646,12000
19,0,0,0,1792,0,0,0,0,0,0,600,12000
20,0,0,0,0,0,0,0,0,0,0,525,12000
21,0,0,0,0,0,0,0,0,0,0,740,12000
22,0,0,0,896,0,0,0,0,0,0,554,12000
23,0,0,0,896,0,0,0,0,0,0,624,12000
