server_mode,mode,users,hours,dt_min,p_gossip,adoption,fork_frac,fork_hour,detected,lat_aw_min,lat_ev_min,aware_cov_end,evid_cov_end,t10_aw,t50_aw,t10_ev,t50_ev,msgs_first_ev,msgs_10_ev,msgs_50_ev,msgs_95_ev,bytes_per_send,bytes_per_delivery,crosscuts,crosscut_rate,proof_inconsistent,evidence_events,seed,p_contact_cross,p_group_cross,p_drop_crosscut,sticky_victims,msg_rate_1to1,msg_rate_group,groups,avg_group_size,proof_withhold_rate,proof_timeout_rate,invalid_proof_rate,wall_s,run_dir
honest,sth_only,12000,2.0,5.0,0.005,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.19827226690497468,0.19827226690497468,0.0,0.0,0,0,57000,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6720998287200928,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.005,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.15554573574900574,0.15554573574900574,0.0,0.0,0,0,57001,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6537075042724609,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57001_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.005,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.12634349638078526,0.12634349638078526,0.0,0.0,0,0,57002,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6286563873291016,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57002_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.005,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.031005874159752922,0.031005874159752922,0.0,0.0,0,0,57003,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6359977722167969,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57003_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.005,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.03430715625837577,0.03430715625837577,0.0,0.0,0,0,57004,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6305949687957764,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57004_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.005,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.1276737227086335,0.1276737227086335,0.0,0.0,0,0,57005,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6068339347839355,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57005_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.005,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.2090443205496424,0.2090443205496424,0.0,0.0,0,0,57006,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6582677364349365,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57006_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.005,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.13220265275059795,0.13220265275059795,0.0,0.0,0,0,57007,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6498856544494629,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57007_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.012,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.34316353887399464,0.34316353887399464,0.0,0.0,0,0,57000,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6225366592407227,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p012_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05
honest,sth_only,12000,2.0,5.0,0.012,0.2,0.0,0.0,False,,,0.0,0.0,,,,,,,,,0.2615996464869642,0.2615996464869642,0.0,0.0,0,0,57001,0.05,0.05,0.0,False,0.2,0.08,800,10,0.0,0.0,0.0,0.6327266693115234,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p012_a0p2_ff0_s57001_drop0_pc0p05_pgc0p05
