run_dir,mode,p_gossip,adoption,tick,t_min,latest_frac
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,0,0.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,1,5.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,2,10.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,3,15.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,4,20.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,5,25.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,6,30.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,7,35.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,8,40.0,1.0
C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_honest_convergence/honest_sth_only_n12000_pg0p005_a0p2_ff0_s57000_drop0_pc0p05_pgc0p05,sth_only,0.005,0.2,9,45.0,1.0
