tick,user,event
38,2033,aware
38,2033,evidence
38,2033,detect
43,6884,aware
43,6884,evidence
43,6884,detect
45,2009,aware
45,2009,evidence
45,2009,detect
45,2087,aware
45,2087,evidence
45,2087,detect
45,7340,aware
45,7340,evidence
45,7340,detect
45,2949,aware
45,2949,evidence
45,2949,detect
45,4770,aware
45,4770,evidence
45,4770,detect
45,4531,aware
45,4531,evidence
45,4531,detect
45,4626,aware
45,4626,evidence
45,4626,detect
45,588,aware
45,588,evidence
45,588,detect
45,2725,aware
45,2725,evidence
45,2725,detect
50,4383,aware
50,4383,evidence
50,4383,detect
50,7159,aware
50,7159,evidence
50,7159,detect
50,3827,aware
50,3827,evidence
50,3827,detect
50,1453,aware
50,1453,evidence
50,1453,detect
50,3682,aware
50,3682,evidence
50,3682,detect
50,4724,aware
50,4724,evidence
50,4724,detect
50,7730,aware
50,7730,evidence
50,7730,detect
50,1429,aware
50,1429,evidence
50,1429,detect
50,4345,aware
50,4345,evidence
50,4345,detect
51,1955,aware
51,1955,evidence
51,1955,detect
57,4368,aware
57,4368,evidence
57,4368,detect
