users,adoption,p_gossip,mix_level,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
8000,0.1,0.004,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6666666666666666,120.0,66.25,171.25,0.40117787824042045,0.40117787824042045,0.6666666666666666,0.6666666666666666,,,
8000,0.1,0.005,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6666666666666666,120.0,66.25,171.25,0.4693728571623705,0.4693728571623705,0.8333333333333334,0.8333333333333334,,,
8000,0.1,0.006,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.6666666666666666,62.5,47.5,96.25,0.7294111678440588,0.7294111678440588,1.5,1.5,,,
8000,0.1,0.007,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.8333333333333334,25.0,15.0,70.0,0.9726434660565119,0.9726434660565119,2.1666666666666665,2.1666666666666665,,,
8000,0.1,0.008,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.8333333333333334,25.0,15.0,70.0,1.0232641207031905,1.0232641207031905,2.3333333333333335,2.3333333333333335,,,
8000,0.1,0.01,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.8333333333333334,15.0,10.0,25.0,1.2168863399547682,1.2168863399547682,2.8333333333333335,2.8333333333333335,,,
8000,0.1,0.012,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.8333333333333334,15.0,10.0,25.0,1.3088134994509828,1.3088134994509828,2.8333333333333335,2.8333333333333335,,,
8000,0.1,0.015,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.8333333333333334,15.0,10.0,25.0,1.691635511043633,1.691635511043633,3.1666666666666665,3.1666666666666665,,,
8000,0.1,0.02,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,1.0,20.0,11.25,58.75,2.1896142124018696,2.1896142124018696,4.166666666666667,4.166666666666667,,,
8000,0.2,0.004,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.8333333333333334,125.0,80.0,170.0,0.8703407214239259,0.8703407214239259,2.3333333333333335,2.3333333333333335,,,
8000,0.2,0.005,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.8333333333333334,125.0,80.0,170.0,1.002541934483178,1.002541934483178,2.3333333333333335,2.3333333333333335,,,
8000,0.2,0.006,0.01,permanent_fork,sth_proof,0.05,0.01,0.01,0.0,6,0.8333333333333334,125.0,80.0,145.0,1.187978730193223,1.187978730193223,4.666666666666667,4.666666666666667,,,
