tick,user,event
37,3613,aware
37,3613,evidence
37,3613,detect
44,7081,aware
44,7081,evidence
44,7081,detect
51,7807,aware
51,7807,evidence
51,7807,detect
51,5682,aware
51,5682,evidence
51,5682,detect
54,208,aware
54,208,evidence
54,208,detect
56,59,aware
56,59,evidence
56,59,detect
58,5639,aware
58,5639,evidence
58,5639,detect
61,5512,aware
61,5512,evidence
61,5512,detect
65,2514,aware
65,2514,evidence
65,2514,detect
65,6799,aware
65,6799,evidence
65,6799,detect
70,711,aware
70,711,evidence
70,711,detect
