server_mode,mode,users,hours,dt_min,p_gossip,adoption,fork_frac,fork_hour,detected,lat_aw_min,lat_ev_min,aware_cov_end,evid_cov_end,t10_aw,t50_aw,t10_ev,t50_ev,msgs_first_ev,msgs_10_ev,msgs_50_ev,msgs_95_ev,bytes_per_send,bytes_per_delivery,crosscuts,crosscut_rate,proof_inconsistent,evidence_events,seed,p_contact_cross,p_group_cross,p_drop_crosscut,sticky_victims,msg_rate_1to1,msg_rate_group,groups,avg_group_size,proof_withhold_rate,proof_timeout_rate,invalid_proof_rate,wall_s,run_dir,mix_level
permanent_fork,sth_proof,8000,6.0,5.0,0.004,0.1,0.05,3.0,True,70.0,70.0,0.0,0.0,,,,,31816.0,,,,0.5910723447922012,0.5910723447922012,1.0,1.832441545114711e-05,1,1,51000,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6757204532623291,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p004_a0p1_ff0p05_s51000_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.004,0.1,0.05,3.0,True,55.0,55.0,0.0,0.0,,,,,28670.0,,,,0.4717651704620245,0.4717651704620245,1.0,1.880441527670697e-05,1,1,51001,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.7288494110107422,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p004_a0p1_ff0p05_s51001_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.004,0.1,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.1249526845303317,0.1249526845303317,0.0,0.0,0,0,51002,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.7893905639648438,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p004_a0p1_ff0p05_s51002_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.004,0.1,0.05,3.0,True,170.0,170.0,0.0,0.0,,,,,52845.0,,,,0.611716948057939,0.611716948057939,1.0,1.845188670541563e-05,1,1,51003,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.7674331665039062,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p004_a0p1_ff0p05_s51003_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.004,0.1,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.0844820758452922,0.0844820758452922,0.0,0.0,0,0,51004,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.7214467525482178,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p004_a0p1_ff0p05_s51004_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.004,0.1,0.05,3.0,True,175.0,175.0,0.0,0.0,,,,,54814.0,,,,0.5230780457547342,0.5230780457547342,1.0,1.8243514430619916e-05,1,1,51005,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.7654898166656494,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p004_a0p1_ff0p05_s51005_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.005,0.1,0.05,3.0,True,70.0,70.0,0.0,0.0,,,,,31816.0,,,,0.7224217547460235,0.7224217547460235,2.0,3.664883090229422e-05,2,2,51000,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.7593057155609131,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p005_a0p1_ff0p05_s51000_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.005,0.1,0.05,3.0,True,55.0,55.0,0.0,0.0,,,,,28670.0,,,,0.48861392654995395,0.48861392654995395,1.0,1.880441527670697e-05,1,1,51001,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.7640831470489502,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p005_a0p1_ff0p05_s51001_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.005,0.1,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.3034565195736627,0.3034565195736627,0.0,0.0,0,0,51002,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.629122257232666,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p005_a0p1_ff0p05_s51002_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.005,0.1,0.05,3.0,True,170.0,170.0,0.0,0.0,,,,,52845.0,,,,0.6282498385459914,0.6282498385459914,1.0,1.845188670541563e-05,1,1,51003,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6454260349273682,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p005_a0p1_ff0p05_s51003_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.005,0.1,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.10137849101435063,0.10137849101435063,0.0,0.0,0,0,51004,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6237919330596924,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p005_a0p1_ff0p05_s51004_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.005,0.1,0.05,3.0,True,175.0,175.0,0.0,0.0,,,,,54814.0,,,,0.5721166125442405,0.5721166125442405,1.0,1.8243514430619916e-05,1,1,51005,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6408751010894775,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p005_a0p1_ff0p05_s51005_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.006,0.1,0.05,3.0,True,70.0,70.0,0.0,0.0,,,,,31816.0,,,,0.9851205746536685,0.9851205746536685,3.0,5.4973246353441326e-05,3,3,51000,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6514301300048828,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p006_a0p1_ff0p05_s51000_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.006,0.1,0.05,3.0,True,55.0,55.0,0.0,0.0,,,,,28670.0,,,,0.5897064630775306,0.5897064630775306,2.0,3.760883055341394e-05,2,2,51001,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6427030563354492,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p006_a0p1_ff0p05_s51001_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.006,0.1,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.4819603546169937,0.4819603546169937,0.0,0.0,0,0,51002,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6491003036499023,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p006_a0p1_ff0p05_s51002_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.006,0.1,0.05,3.0,True,25.0,25.0,0.0,0.0,,,,,24722.0,,,,0.9754405387950918,0.9754405387950918,3.0,5.535566011624689e-05,3,3,51003,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6469759941101074,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p006_a0p1_ff0p05_s51003_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.006,0.1,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.11827490618340908,0.11827490618340908,0.0,0.0,0,0,51004,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6576786041259766,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p006_a0p1_ff0p05_s51004_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.006,0.1,0.05,3.0,True,175.0,175.0,0.0,0.0,,,,,54814.0,,,,1.2259641697376582,1.2259641697376582,1.0,1.8243514430619916e-05,1,1,51005,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6226921081542969,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p006_a0p1_ff0p05_s51005_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.007,0.1,0.05,3.0,True,70.0,70.0,0.0,0.0,,,,,31816.0,,,,1.4120061570035916,1.4120061570035916,5.0,9.162207725573554e-05,5,5,51000,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6472573280334473,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p007_a0p1_ff0p05_s51000_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.007,0.1,0.05,3.0,True,15.0,15.0,0.0,0.0,,,,,23089.0,,,,0.8255890483085428,0.8255890483085428,3.0,5.641324583012091e-05,3,3,51001,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.640838623046875,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p007_a0p1_ff0p05_s51001_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.007,0.1,0.05,3.0,False,,,0.0,0.0,,,,,,,,,0.9639207092339874,0.9639207092339874,0.0,0.0,0,0,51002,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6491117477416992,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p007_a0p1_ff0p05_s51002_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.007,0.1,0.05,3.0,True,25.0,25.0,0.0,0.0,,,,,24722.0,,,,1.2399667866039303,1.2399667866039303,3.0,5.535566011624689e-05,3,3,51003,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6515498161315918,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p007_a0p1_ff0p05_s51003_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.007,0.1,0.05,3.0,True,10.0,10.0,0.0,0.0,,,,,22976.0,,,,0.15206773652152597,0.15206773652152597,1.0,1.8857606215467008e-05,1,1,51004,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.6463980674743652,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p007_a0p1_ff0p05_s51004_drop0_pc0p01_pgc0p01,0.01
permanent_fork,sth_proof,8000,6.0,5.0,0.007,0.1,0.05,3.0,True,175.0,175.0,0.0,0.0,,,,,54814.0,,,,1.2423103586674937,1.2423103586674937,1.0,1.8243514430619916e-05,1,1,51005,0.01,0.01,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,0.637850284576416,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_mixing_sensitivity_lite_refined/mix_0p01/permanent_fork_sth_proof_n8000_pg0p007_a0p1_ff0p05_s51005_drop0_pc0p01_pgc0p01,0.01
