tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,756
1,0,0,0,0,0,0,0,0,0,0,708
2,0,0,0,0,0,0,0,0,0,0,669
3,0,0,0,0,0,0,0,0,0,0,662
4,0,0,0,5376,0,0,0,0,0,0,709
5,0,0,0,0,0,0,0,0,0,0,649
6,0,0,0,0,0,0,0,0,0,0,757
7,0,0,0,0,0,0,0,0,0,0,626
8,0,0,0,896,0,0,0,0,0,0,653
9,0,0,0,896,0,0,0,0,0,0,585
10,0,0,0,896,0,0,0,0,0,0,625
11,0,0,0,0,0,0,0,0,0,0,560
12,0,0,0,0,0,0,0,0,0,0,523
13,0,0,0,0,0,0,0,0,0,0,477
14,0,0,0,0,0,0,0,0,0,0,561
15,0,0,0,1792,0,0,0,0,0,0,526
16,0,0,0,0,0,0,0,0,0,0,600
17,0,0,0,896,0,0,0,0,0,0,530
18,0,0,0,0,0,0,0,0,0,0,540
19,0,0,0,896,0,0,0,0,0,0,507
20,0,0,0,0,0,0,0,0,0,0,554
21,0,0,0,0,0,0,0,0,0,0,459
22,0,0,0,0,0,0,0,0,0,0,419
23,0,0,0,0,0,0,0,0,0,0,583
24,0,0,0,0,0,0,0,0,0,0,456
25,0,0,0,0,0,0,0,0,0,0,421
26,0,0,0,0,0,0,0,0,0,0,515
27,0,0,0,0,0,0,0,0,0,0,446
28,0,0,0,896,0,0,0,0,0,0,531
29,0,0,0,0,0,0,0,0,0,0,565
30,0,0,0,0,0,0,0,0,0,0,424
31,0,0,0,0,0,0,0,0,0,0,460
32,0,0,0,0,0,0,0,0,0,0,467
33,0,0,0,0,0,0,0,0,0,0,504
34,0,0,0,896,0,0,0,0,0,0,527
35,0,0,0,0,0,0,0,0,0,0,571
36,0,0,0,0,0,0,0,0,0,0,466
37,0,0,0,0,0,0,0,0,0,0,578
38,0,0,0,0,0,0,0,0,0,0,448
39,0,0,0,896,0,0,0,0,0,0,559
40,0,0,0,0,0,0,0,0,0,0,647
41,0,0,0,0,0,0,0,0,0,0,517
42,0,0,0,0,0,0,0,0,0,0,705
43,0,0,0,0,0,0,0,0,0,0,566
44,0,0,0,0,0,0,0,0,0,0,699
45,0,0,0,0,0,0,0,0,0,0,631
46,0,0,0,0,0,0,0,0,0,0,678
47,0,0,0,12544,0,0,0,0,0,0,821
48,0,0,0,0,0,0,0,0,0,0,606
49,0,0,0,0,0,0,0,0,0,0,675
50,0,0,0,0,0,0,0,0,0,0,710
51,0,0,0,0,0,0,0,0,0,0,827
52,0,0,0,0,0,0,0,0,0,0,726
53,0,0,0,13440,0,0,0,0,0,0,800
54,0,0,0,0,0,0,0,0,0,0,842
55,0,0,0,0,0,0,0,0,0,0,783
56,0,0,0,0,0,0,0,0,0,0,982
57,0,0,0,0,0,0,0,0,0,0,840
58,0,0,0,0,0,0,0,0,0,0,856
59,0,0,0,0,0,0,0,0,0,0,910
60,1,1,1,896,0,1,0,0,1,0,968
61,1,1,1,9856,0,0,0,0,0,0,1141
62,1,1,1,0,0,0,0,0,0,0,1010
63,1,1,1,896,0,0,0,0,0,0,1171
64,1,1,1,896,0,0,0,0,0,0,1033
65,1,1,1,0,0,0,0,0,0,0,966
66,1,1,1,0,0,0,0,0,0,0,1175
67,2,2,2,896,0,1,0,0,1,0,1154
68,2,2,2,0,0,0,0,0,0,0,1169
69,2,2,2,0,0,0,0,0,0,0,1248
70,2,2,2,0,0,0,0,0,0,0,1241
71,2,2,2,8064,0,0,0,0,0,0,1329
