tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,1792,0,0,0,0,0,0,784
1,0,0,0,0,0,0,0,0,0,0,730
2,0,0,0,7168,0,0,0,0,0,0,821
3,0,0,0,896,0,0,0,0,0,0,808
4,0,0,0,896,0,0,0,0,0,0,738
5,0,0,0,0,0,0,0,0,0,0,837
6,0,0,0,896,0,0,0,0,0,0,637
7,0,0,0,1792,0,0,0,0,0,0,787
8,0,0,0,0,0,0,0,0,0,0,818
9,0,0,0,1792,0,0,0,0,0,0,718
10,0,0,0,0,0,0,0,0,0,0,741
11,0,0,0,0,0,0,0,0,0,0,770
12,0,0,0,0,0,0,0,0,0,0,762
13,0,0,0,896,0,0,0,0,0,0,712
14,0,0,0,1792,0,0,0,0,0,0,633
15,0,0,0,0,0,0,0,0,0,0,756
16,0,0,0,10752,0,0,0,0,0,0,816
17,0,0,0,896,0,0,0,0,0,0,613
18,0,0,0,0,0,0,0,0,0,0,580
19,0,0,0,0,0,0,0,0,0,0,624
20,0,0,0,1792,0,0,0,0,0,0,540
21,0,0,0,896,0,0,0,0,0,0,645
22,0,0,0,0,0,0,0,0,0,0,564
23,0,0,0,0,0,0,0,0,0,0,693
24,0,0,0,0,0,0,0,0,0,0,626
25,0,0,0,0,0,0,0,0,0,0,637
26,0,0,0,0,0,0,0,0,0,0,771
27,0,0,0,1792,0,0,0,0,0,0,671
28,0,0,0,0,0,0,0,0,0,0,789
29,0,0,0,1792,0,0,0,0,0,0,679
30,0,0,0,0,0,0,0,0,0,0,701
31,0,0,0,0,0,0,0,0,0,0,583
32,0,0,0,0,0,0,0,0,0,0,774
33,0,0,0,0,0,0,0,0,0,0,806
34,0,0,0,1792,0,0,0,0,0,0,656
35,0,0,0,896,0,0,0,0,0,0,904
36,0,0,0,0,0,0,0,0,0,0,604
37,0,0,0,9856,0,0,0,0,0,0,698
38,0,0,0,0,0,0,0,0,0,0,746
39,0,0,0,0,0,0,0,0,0,0,836
40,0,0,0,1792,0,0,0,0,0,0,774
41,0,0,0,0,0,0,0,0,0,0,800
42,0,0,0,0,0,0,0,0,0,0,773
43,0,0,0,1792,0,0,0,0,0,0,891
44,0,0,0,0,0,0,0,0,0,0,987
45,0,0,0,896,0,0,0,0,0,0,753
46,0,0,0,896,0,0,0,0,0,0,786
47,0,0,0,0,0,0,0,0,0,0,1101
48,1,1,1,896,0,1,0,0,1,0,1107
49,1,1,1,896,0,0,0,0,0,0,909
50,1,1,1,1792,0,0,0,0,0,0,909
51,1,1,1,0,0,0,0,0,0,0,1097
52,1,1,1,0,0,0,0,0,0,0,1027
53,1,1,1,896,0,0,0,0,0,0,1026
54,1,1,1,1792,0,0,0,0,0,0,1008
55,1,1,1,0,0,0,0,0,0,0,1098
56,1,1,1,896,0,0,0,0,0,0,1186
57,1,1,1,1792,0,0,0,0,0,0,1254
58,1,1,1,1792,0,0,0,0,0,0,1353
59,1,1,1,1792,0,0,0,0,0,0,1265
60,1,1,1,0,0,0,0,0,0,0,1202
61,1,1,1,10752,0,0,0,0,0,0,1560
62,1,1,1,2688,0,0,0,0,0,0,1389
63,1,1,1,1792,0,0,0,0,0,0,1466
64,1,1,1,11648,0,0,0,0,0,0,1656
65,1,1,1,0,0,0,0,0,0,0,1313
66,1,1,1,12544,0,0,0,0,0,0,1386
67,1,1,1,3584,0,0,0,0,0,0,1653
68,1,1,1,17024,0,0,0,0,0,0,1556
69,1,1,1,896,0,0,0,0,0,0,1520
70,1,1,1,2688,0,0,0,0,0,0,1666
71,1,1,1,0,0,0,0,0,0,0,1678
