tick,user,event
41,222,aware
41,222,evidence
41,222,detect
47,7352,aware
47,7352,evidence
47,7352,detect
47,11873,aware
47,11873,evidence
47,11873,detect
58,9236,aware
58,9236,evidence
58,9236,detect
60,10864,aware
60,10864,evidence
60,10864,detect
60,7179,aware
60,7179,evidence
60,7179,detect
63,5639,aware
63,5639,evidence
63,5639,detect
63,4844,aware
63,4844,evidence
63,4844,detect
63,3333,aware
63,3333,evidence
63,3333,detect
63,10303,aware
63,10303,evidence
63,10303,detect
63,4128,aware
63,4128,evidence
63,4128,detect
63,2827,aware
63,2827,evidence
63,2827,detect
63,376,aware
63,376,evidence
63,376,detect
63,1,aware
63,1,evidence
63,1,detect
71,11075,aware
71,11075,evidence
71,11075,detect
71,8349,aware
71,8349,evidence
71,8349,detect
