users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.2,0.01,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,0.942331075668335,0.0,0.0,0.6666666666666666,55.0,55.0,,,,,35558.5,,,2.224532368085376,2.224532368085376,0.9166666666666666,0.9166666666666666
12000,0.2,0.01,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,1.085175633430481,0.0,0.0,0.8333333333333334,52.5,52.5,,,,,34854.0,,,2.224532368085376,2.224532368085376,1.3333333333333333,1.3333333333333333
12000,0.2,0.01,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,1.0880062580108643,0.0,0.0,1.0,52.5,52.5,,,,,35804.5,,,2.224532368085376,2.224532368085376,3.1666666666666665,3.1666666666666665
12000,0.2,0.01,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,0.9885941743850708,0.0,0.0,1.0,37.5,37.5,,,,,32881.0,,,2.224532368085376,2.224532368085376,7.666666666666667,7.666666666666667
12000,0.2,0.015,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,0.9926072359085083,0.0,0.0,0.6666666666666666,55.0,55.0,,,,,35558.5,,,3.2036807041828723,3.2036807041828723,0.9166666666666666,0.9166666666666666
12000,0.2,0.015,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,1.0858993530273438,0.0,0.0,0.9166666666666666,65.0,65.0,,,,,36535.0,,,3.2036807041828723,3.2036807041828723,1.5,1.5
12000,0.2,0.015,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,1.1219737529754639,0.0,0.0,1.0,52.5,52.5,,,,,35804.5,,,3.2036807041828723,3.2036807041828723,4.583333333333333,4.583333333333333
12000,0.2,0.015,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,0.988214373588562,0.0,0.0,1.0,27.5,27.5,,,,,30775.0,,,3.2036807041828723,3.2036807041828723,13.416666666666666,13.416666666666666
12000,0.2,0.02,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,1.0517292022705078,0.0,0.0,0.6666666666666666,42.5,42.5,,,,,33428.5,,,4.095282556153236,4.095282556153236,2.0833333333333335,2.0833333333333335
12000,0.2,0.02,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,1.093496322631836,0.0,0.0,0.9166666666666666,45.0,45.0,,,,,33684.0,,,4.095282556153236,4.095282556153236,2.9166666666666665,2.9166666666666665
12000,0.2,0.02,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,1.0232301950454712,0.0,0.0,1.0,45.0,45.0,,,,,34379.0,,,4.095282556153236,4.095282556153236,6.666666666666667,6.666666666666667
12000,0.2,0.02,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,0.9693595170974731,0.0,0.0,1.0,27.5,27.5,,,,,30775.0,,,4.095282556153236,4.095282556153236,17.333333333333332,17.333333333333332
