users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.2,0.01,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,0.6666666666666666,55.0,21.25,88.75,2.224532368085376,2.224532368085376,0.9166666666666666,0.9166666666666666,,,
12000,0.2,0.01,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,0.8333333333333334,52.5,21.25,77.5,2.224532368085376,2.224532368085376,1.3333333333333333,1.3333333333333333,,,
12000,0.2,0.01,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,1.0,52.5,17.5,72.5,2.224532368085376,2.224532368085376,3.1666666666666665,3.1666666666666665,,,
12000,0.2,0.01,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,1.0,37.5,17.5,58.75,2.224532368085376,2.224532368085376,7.666666666666667,7.666666666666667,,,
12000,0.2,0.015,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,0.6666666666666666,55.0,21.25,88.75,3.2036807041828723,3.2036807041828723,0.9166666666666666,0.9166666666666666,,,
12000,0.2,0.015,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,0.9166666666666666,65.0,22.5,97.5,3.2036807041828723,3.2036807041828723,1.5,1.5,,,
12000,0.2,0.015,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,1.0,52.5,17.5,72.5,3.2036807041828723,3.2036807041828723,4.583333333333333,4.583333333333333,,,
12000,0.2,0.015,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,1.0,27.5,10.0,43.75,3.2036807041828723,3.2036807041828723,13.416666666666666,13.416666666666666,,,
12000,0.2,0.02,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,0.6666666666666666,42.5,21.25,88.75,4.095282556153236,4.095282556153236,2.0833333333333335,2.0833333333333335,,,
12000,0.2,0.02,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,0.9166666666666666,45.0,22.5,97.5,4.095282556153236,4.095282556153236,2.9166666666666665,2.9166666666666665,,,
12000,0.2,0.02,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,1.0,45.0,17.5,68.75,4.095282556153236,4.095282556153236,6.666666666666667,6.666666666666667,,,
12000,0.2,0.02,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,1.0,27.5,10.0,43.75,4.095282556153236,4.095282556153236,17.333333333333332,17.333333333333332,,,
