users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,fast_detect_rate,reps,threshold_min
12000,0.2,0.01,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,0.3333333333333333,12,60.0
12000,0.2,0.01,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,0.4166666666666667,12,60.0
12000,0.2,0.01,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,0.5833333333333334,12,60.0
12000,0.2,0.01,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,0.75,12,60.0
12000,0.2,0.015,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,0.3333333333333333,12,60.0
12000,0.2,0.015,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,0.4166666666666667,12,60.0
12000,0.2,0.015,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,0.5833333333333334,12,60.0
12000,0.2,0.015,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,0.8333333333333334,12,60.0
12000,0.2,0.02,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,0.4166666666666667,12,60.0
12000,0.2,0.02,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,0.5,12,60.0
12000,0.2,0.02,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,0.6666666666666666,12,60.0
12000,0.2,0.02,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,0.8333333333333334,12,60.0
