tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,1792,0,0,0,0,0,0,833
1,0,0,0,2688,0,0,0,0,0,0,992
2,0,0,0,0,0,0,0,0,0,0,954
3,0,0,0,896,0,0,0,0,0,0,928
4,0,0,0,896,0,0,0,0,0,0,759
5,0,0,0,1792,0,0,0,0,0,0,860
6,0,0,0,1792,0,0,0,0,0,0,916
7,0,0,0,1792,0,0,0,0,0,0,838
8,0,0,0,896,0,0,0,0,0,0,716
9,0,0,0,896,0,0,0,0,0,0,798
10,0,0,0,896,0,0,0,0,0,0,722
11,0,0,0,1792,0,0,0,0,0,0,857
12,0,0,0,1792,0,0,0,0,0,0,522
13,0,0,0,3584,0,0,0,0,0,0,771
14,0,0,0,896,0,0,0,0,0,0,688
15,0,0,0,2688,0,0,0,0,0,0,792
16,0,0,0,896,0,0,0,0,0,0,694
17,0,0,0,4480,0,0,0,0,0,0,703
18,0,0,0,0,0,0,0,0,0,0,668
19,0,0,0,896,0,0,0,0,0,0,832
20,0,0,0,8960,0,0,0,0,0,0,620
21,0,0,0,16128,0,0,0,0,0,0,639
22,0,0,0,0,0,0,0,0,0,0,655
23,0,0,0,0,0,0,0,0,0,0,683
24,0,0,0,1792,0,0,0,0,0,0,840
25,0,0,0,1792,0,0,0,0,0,0,731
26,0,0,0,1792,0,0,0,0,0,0,768
27,0,0,0,0,0,0,0,0,0,0,696
28,0,0,0,896,0,0,0,0,0,0,695
29,0,0,0,3584,0,0,0,0,0,0,632
30,0,0,0,896,0,0,0,0,0,0,662
31,0,0,0,1792,0,0,0,0,0,0,734
32,0,0,0,896,0,0,0,0,0,0,716
33,0,0,0,8960,0,0,0,0,0,0,722
34,0,0,0,0,0,0,0,0,0,0,861
35,0,0,0,3584,0,0,0,0,0,0,892
36,0,0,0,0,0,0,0,0,0,0,664
37,0,0,0,0,0,0,0,0,0,0,711
38,1,1,1,9856,0,1,0,0,1,0,758
39,1,1,1,896,0,0,0,0,0,0,742
40,1,1,1,0,0,0,0,0,0,0,750
41,1,1,1,0,0,0,0,0,0,0,775
42,1,1,1,0,0,0,0,0,0,0,793
43,1,1,1,8960,0,0,0,0,0,0,899
44,1,1,1,0,0,0,0,0,0,0,793
45,2,2,2,8960,0,1,0,0,1,0,945
46,2,2,2,896,0,0,0,0,0,0,731
47,2,2,2,896,0,0,0,0,0,0,948
48,2,2,2,0,0,0,0,0,0,0,1000
49,2,2,2,896,0,0,0,0,0,0,947
50,2,2,2,12544,0,0,0,0,0,0,971
51,2,2,2,10752,0,0,0,0,0,0,992
52,3,3,3,4480,0,1,0,0,1,0,1124
53,4,4,4,9856,0,1,0,0,1,0,998
54,4,4,4,9856,0,0,0,0,0,0,984
55,4,4,4,0,0,0,0,0,0,0,1179
56,4,4,4,15232,0,0,0,0,0,0,1320
57,4,4,4,11648,0,0,0,0,0,0,1156
58,4,4,4,2688,0,0,0,0,0,0,1259
59,4,4,4,896,0,0,0,0,0,0,1400
60,4,4,4,0,0,0,0,0,0,0,1112
61,4,4,4,896,0,0,0,0,0,0,1186
62,5,5,5,12544,0,1,0,0,1,0,1472
63,5,5,5,4480,0,0,0,0,0,0,1368
64,5,5,5,1792,0,0,0,0,0,0,1402
65,6,6,6,3584,0,1,0,0,1,0,1498
66,7,7,7,1792,0,1,0,0,1,0,1580
67,7,7,7,2688,0,0,0,0,0,0,1860
68,7,7,7,15232,0,0,0,0,0,0,1668
69,8,8,8,1792,0,1,0,0,1,0,1753
70,9,9,9,1792,0,1,0,0,1,0,1476
71,9,9,9,0,0,0,0,0,0,0,1728
