users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.2,0.008,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,0.4166666666666667,75.0,5.0,75.0,1.638291352322409,1.638291352322409,0.5833333333333334,0.5833333333333334,,,
12000,0.2,0.008,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,0.5833333333333334,10.0,2.5,100.0,1.638291352322409,1.638291352322409,1.1666666666666667,1.1666666666666667,,,
12000,0.2,0.008,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,0.8333333333333334,62.5,6.25,122.5,1.638291352322409,1.638291352322409,2.1666666666666665,2.1666666666666665,,,
12000,0.2,0.008,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,0.9166666666666666,15.0,2.5,60.0,1.638291352322409,1.638291352322409,6.583333333333333,6.583333333333333,,,
12000,0.2,0.01,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,0.5,75.0,22.5,97.5,1.9027983277278648,1.9027983277278648,0.6666666666666666,0.6666666666666666,,,
12000,0.2,0.01,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,0.5833333333333334,10.0,2.5,82.5,1.9027983277278648,1.9027983277278648,1.25,1.25,,,
12000,0.2,0.01,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,0.8333333333333334,62.5,6.25,96.25,1.9027983277278648,1.9027983277278648,2.5,2.5,,,
12000,0.2,0.01,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,0.9166666666666666,15.0,2.5,40.0,1.9027983277278648,1.9027983277278648,8.083333333333334,8.083333333333334,,,
12000,0.2,0.015,permanent_fork,sth_proof,0.005,0.05,0.05,0.0,12,0.75,75.0,35.0,85.0,2.832578519887562,2.832578519887562,2.3333333333333335,2.3333333333333335,,,
12000,0.2,0.015,permanent_fork,sth_proof,0.01,0.05,0.05,0.0,12,1.0,47.5,8.75,86.25,2.832578519887562,2.832578519887562,3.1666666666666665,3.1666666666666665,,,
12000,0.2,0.015,permanent_fork,sth_proof,0.02,0.05,0.05,0.0,12,1.0,47.5,8.75,86.25,2.832578519887562,2.832578519887562,5.0,5.0,,,
12000,0.2,0.015,permanent_fork,sth_proof,0.05,0.05,0.05,0.0,12,1.0,15.0,3.75,37.5,2.832578519887562,2.832578519887562,11.833333333333334,11.833333333333334,,,
