tick,user,event
45,6681,aware
45,6681,evidence
45,6681,detect
52,4398,aware
52,4398,evidence
52,4398,detect
52,6437,aware
52,6437,evidence
52,6437,detect
52,10350,aware
52,10350,evidence
52,10350,detect
52,3139,aware
52,3139,evidence
52,3139,detect
52,11458,aware
52,11458,evidence
52,11458,detect
52,7779,aware
52,7779,evidence
52,7779,detect
52,5081,aware
52,5081,evidence
52,5081,detect
52,3190,aware
52,3190,evidence
52,3190,detect
52,813,aware
52,813,evidence
52,813,detect
52,5306,aware
52,5306,evidence
52,5306,detect
52,5857,aware
52,5857,evidence
52,5857,detect
54,1336,aware
54,1336,evidence
54,1336,detect
