tick,user,event
56,6389,aware
56,6389,evidence
56,6389,detect
65,9176,aware
65,9176,evidence
65,9176,detect
68,7302,aware
68,7302,evidence
68,7302,detect
68,7793,aware
68,7793,evidence
68,7793,detect
68,2365,aware
68,2365,evidence
68,2365,detect
68,8474,aware
68,8474,evidence
68,8474,detect
68,3804,aware
68,3804,evidence
68,3804,detect
68,4199,aware
68,4199,evidence
68,4199,detect
68,11423,aware
68,11423,evidence
68,11423,detect
68,678,aware
68,678,evidence
68,678,detect
68,1326,aware
68,1326,evidence
68,1326,detect
