tick,user,event
39,2724,aware
39,2724,evidence
39,2724,detect
51,7492,aware
51,7492,evidence
51,7492,detect
68,1142,aware
68,1142,evidence
68,1142,detect
70,9424,aware
70,9424,evidence
70,9424,detect
70,10017,aware
70,10017,evidence
70,10017,detect
70,10377,aware
70,10377,evidence
70,10377,detect
70,5027,aware
70,5027,evidence
70,5027,detect
70,6954,aware
70,6954,evidence
70,6954,detect
70,4137,aware
70,4137,evidence
70,4137,detect
70,2943,aware
70,2943,evidence
70,2943,detect
70,5114,aware
70,5114,evidence
70,5114,detect
70,5705,aware
70,5705,evidence
70,5705,detect
70,426,aware
70,426,evidence
70,426,detect
