tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,2688,0,0,0,0,0,0,1007,12000
1,0,0,0,896,0,0,0,0,0,0,914,12000
2,0,0,0,2688,0,0,0,0,0,0,854,12000
3,0,0,0,0,0,0,0,0,0,0,811,12000
4,0,0,0,0,0,0,0,0,0,0,876,12000
5,0,0,0,896,0,0,0,0,0,0,760,12000
6,0,0,0,896,0,0,0,0,0,0,929,12000
7,0,0,0,18816,0,0,0,0,0,0,748,12000
8,0,0,0,896,0,0,0,0,0,0,805,12000
9,0,0,0,8960,0,0,0,0,0,0,776,12000
10,0,0,0,2688,0,0,0,0,0,0,794,12000
11,0,0,0,0,0,0,0,0,0,0,683,12000
12,0,0,0,896,0,0,0,0,0,0,686,2
13,0,0,0,0,0,0,0,0,0,0,712,2
14,0,0,0,0,0,0,0,0,0,0,703,2
15,0,0,0,0,0,0,0,0,0,0,698,2
16,0,0,0,1792,0,0,0,0,0,0,906,6
17,0,0,0,0,0,0,0,0,0,0,649,6
18,0,0,0,0,0,0,0,0,0,0,571,6
19,0,0,0,0,0,0,0,0,0,0,586,6
20,0,0,0,0,0,0,0,0,0,0,714,6
21,0,0,0,1792,0,0,0,0,0,0,647,10
22,0,0,0,896,0,0,0,0,0,0,677,12
23,0,0,0,0,0,0,0,0,0,0,652,12
24,0,0,0,896,0,0,0,0,0,0,697,2
25,0,0,0,896,0,0,0,0,0,0,680,4
26,0,0,0,896,0,0,0,0,0,0,576,6
27,0,0,0,2688,0,0,0,0,0,0,642,12
28,0,0,0,8960,0,0,0,0,0,0,607,23
29,0,0,0,0,0,0,0,0,0,0,823,23
30,0,0,0,896,0,0,0,0,0,0,763,25
31,0,0,0,9856,0,0,0,0,0,0,672,36
32,0,0,0,1792,0,0,0,0,0,0,686,40
33,0,0,0,0,0,0,0,0,0,0,573,40
34,0,0,0,896,0,0,0,0,0,0,634,42
35,0,0,0,0,0,0,0,0,0,0,841,42
36,0,0,0,0,0,0,0,0,0,0,773,0
37,1,1,1,13440,0,1,0,0,1,0,665,14
38,1,1,1,0,0,0,0,0,0,0,743,14
39,1,1,1,896,0,0,0,0,0,0,632,16
40,1,1,1,896,0,0,0,0,0,0,640,18
41,1,1,1,896,0,0,0,0,0,0,738,20
42,2,2,2,2688,0,1,0,0,1,0,747,25
43,2,2,2,896,0,0,0,0,0,0,795,27
44,3,3,3,12544,0,1,0,0,1,0,747,40
45,3,3,3,1792,0,0,0,0,0,0,879,43
46,3,3,3,0,0,0,0,0,0,0,860,43
47,3,3,3,896,0,0,0,0,0,0,874,45
48,3,3,3,1792,0,0,0,0,0,0,888,4
49,4,4,4,6272,0,1,0,0,1,0,1047,10
50,4,4,4,3584,0,0,0,0,0,0,927,18
51,4,4,4,8960,0,0,0,0,0,0,1112,29
52,4,4,4,896,0,0,0,0,0,0,1138,31
53,4,4,4,896,0,0,0,0,0,0,994,33
54,5,5,5,8960,0,1,0,0,1,0,913,44
55,5,5,5,1792,0,0,0,0,0,0,1183,48
56,5,5,5,0,0,0,0,0,0,0,1087,48
57,5,5,5,0,0,0,0,0,0,0,1150,48
58,6,6,6,16128,0,1,0,0,1,0,978,69
59,6,6,6,2688,0,0,0,0,0,0,1248,75
60,6,6,6,896,0,0,0,0,0,0,1130,2
61,7,7,7,12544,0,1,0,0,1,0,1177,20
62,7,7,7,1792,0,0,0,0,0,0,1209,24
63,7,7,7,2688,0,0,0,0,0,0,1393,30
64,7,7,7,3584,0,0,0,0,0,0,1456,37
65,7,7,7,0,0,0,0,0,0,0,1520,37
66,7,7,7,8064,0,0,0,0,0,0,1543,47
67,7,7,7,3584,0,0,0,0,0,0,1478,55
68,7,7,7,0,0,0,0,0,0,0,1752,55
69,7,7,7,1792,0,0,0,0,0,0,1692,59
70,7,7,7,2688,0,0,0,0,0,0,1762,65
71,7,7,7,4480,0,1,0,0,1,0,1697,73
